,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
31,Griffin Centre,(50) Non Profit ; (51) Registered Charity,416-222-1153,contact@griffincentre.org,www.griffincentre.org,"1124 Finch Ave W, Unit 1
Toronto, ON     M3J 2E2","York University Heights, 27",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,"Mon-Thu 8:30 am-8 pm, Fri 8:30 am-5 pm * after hours -- 24 hour on call service","<b>Mental Health Program</b> -- youth 12-18 years with mental health concerns who are experiencing difficulties at home, school or in the community * <b>Dual Diagnosis Service</b> -- youth 12-18 years with a developmental disability and complex mental health needs, and adults 16 years and older with a developmental disability, with or without accompanying complex mental health needs * <b>reachOUT Newcomer Network</b> -- youth with disabilities and LGBTQ youth 13-24 years, who are permanent residents or government assisted refugees, and their families",English ; Farsi ; Spanish ; Interpretation for other languages arranged,,"Flexible, community-based mental health services * assessment of strengths and needs * individual, family, group and short term counselling * crisis support * substance use treatment * sexual assault harm reduction treatment for offenders (limited capacity) * case management * school-based prevention and consultation * skill development * after school groups * summer work experience opportunities * preparation for independence * youth and family involved in service planning and decisions * consultation for parents, schools, agencies, communities<br><br>

<b>Dual Diagnosis Service (Mental Health/Development Disability)</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse * day/school support services * respite/residential care<br><br>

<b>Helping Youth Towards Solutions</b> -- harm reduction approach * individual and group counselling * family education and support * outreach to secondary schools * day school support service, in collaboration with Toronto District School Board<br><br>

<b>Mental Health Program</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse<br><br>

<b>reachOUT</b> -- counselling and support for all youth 12-18 years, and their families * drop-in support groups, outreach, advocacy, workshops, social and recreation activities for LGBTQ youth * <b>Compass</b> -- social group for LGBTQ youth 13-24 years, with or labelled with intellectual disabilities, includes workshops and recreational activities * <b>reachOUT Newcomer Network</b> -- settlement services * community capacity building<br><br>

<b>Transitional Support Services</b> -- day program for adults with developmental disabilities includes life skills and self care, household management, budgeting skills  * residential program -- supported living, 24 hour staff support * capacity 5 * maximum stay up to 2 years<br><br>

Services offered at various locations",42184
32,Jessie's -- The June Callwood Centre for Young Women,(50) Non Profit ; (51) Registered Charity,416-365-1888,mail@jessiescentre.org,www.jessiescentre.org,"205 Parliament St
Toronto, ON     M5A 2Z4","Moss Park, 73",Wheelchair accessible building including main entrance and barrier free washrooms * street parking close to entrance,"Mon-Tue 9 am-6:30 pm, Wed-Thu 9 am-5 pm * Fri 9 am-2 pm administration and crisis only","Pregnant young women and young mothers and fathers, 18 years and under and their children",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Spanish,Contact counsellor for appointment,"Counselling and referral on sexuality, birth control, abortion, adoption, pregnancy, parenting, finances, housing * advocacy * peer education * prenatal and postnatal classes for women or couples * prenatal nutrition program * <b>Food for Two</b> -- teaches pregnant youth about nutrition * breastfeeding support group * parenting groups * Intensive Parenting Program * Well Baby Clinic * lunch and snacks, emergency supplies, TTC tokens, condoms * high school credit courses * caregiver and child drop-in Monday-Thursday * parent relief * 24 hour infant respite care * swap shop with maternity wear and infant clothing * Community Education Program * supportive atmosphere * all services confidential * volunteer opportunities<br><br>

Access to Jessie's Non-Profit Homes -- subsidized family housing for women under 19 years, and their children and partners * 16 units * located at 20 Anna Hilliard Lane",42201
33,Hospital for Sick Children,(50) Non Profit ; (51) Registered Charity,416-813-5804,,www.sickkids.ca/AdolescentMedicine/What-We-Do/index.html,"555 University Ave
Toronto, ON     M5G 1X8","Bay Street Corridor, 76","Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator, lowered buttons",,Children and youth 18 years and under,English ; Interpretive services,Medical referral required,"<b>Eating Disorders Program</b> -- diagnosis and treatment * inpatient and outpatient programs<br><br>
<b>Substance Abuse Day Treatment Program</b> -- harm reduction approach * individual and group treatment * academic program<br><br>
<b>Young Families Program</b> -- for teen parents and their children * well baby care * nutrition and feeding * parenting education",42367
34,Family Outreach and Response Program,(50) Non Profit ; (51) Registered Charity,416-482-4103 ext 501,marian_dalal@familymentalhealthrecovery.org,www.familymentalhealthrecovery.org,"Easttown Centre Plaza
2660 Eglinton Ave E
Scarborough, ON     M1K 2S3","Eglinton East, 138",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Dedicated accessible washroom with all features,Mon-Fri 9 am-5 pm * voice mail -- calls returned within 24 hours,Family and friends of people 14-35 years experiencing psychosis,English ; Somali ; Tamil,Call for appointment,Family initiative * individual support * home visits * information and referral * support groups * educational events * community work,42216
35,Mood Disorders Association of Ontario,(50) Non Profit ; (51) Registered Charity,Telephone Support Line 416-486-8046,info@mooddisorders.ca,www.mooddisorders.ca,"36 Eglinton Ave W, Ste 602
Toronto, ON     M4R 1A1","Yonge-Eglinton, 100",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall,Mon-Fri 9:30 am-5 pm,"Individuals 16 years and older dealing with mood disorders (depression, bipolar disorder and related anxiety disorders), their families, friends, health professionals, the public",English,Self referral * registration required for some programs,"Information, education and support * counselling and family support * peer support groups -- see website for locations * advocacy * recovery programs, including drop-in services * youth awareness campaign * workshops * peer support and facilitation training * online discussion forums * speakers bureau * library<br><br>

<b>Telephone Information and Peer Support (TIPS) Warmline</b>, 416-486-8046, 1-888-486-8236 -- telephone peer support by trained volunteers with lived experience of mood disorders * <b>no crisis services</b><br><br>

<b>Check Up from the Neck Up</b> -- promotes early identification of mood disorders * see branch record for details<br><br>

<b>Early Psychosis Program</b>, 416-486-8046 ext 225 -- support for youth and young adults 16-35 years with early psychosis, and their families<br><br>

<b>Family Matters Peer Support and Recovery Program</b>, 416-486-8046 ext 240 -- counselling, peer support and recovery services for individuals 16-65 years with mood disorders and/or related complex mental health challenges, and their families<br><br>

<b>Moving Lives Forward Bursary Award</b> -- financial assistance in acquiring additional education or vocational skills * application forms and information available on website<br><br>

<b>Mental Health in the Workplace</b>, 416-486-8046 ext 226 -- presentations, workshops and symposiums on mental health and healthy workplace environments<br><br>

<b>My Mental Health MAP (My Action Plan), <a href=""http://www.mymentalhealthmap.ca"">www.mymentalhealthmap.ca</a></b> -- online individualized planning tool to assist in recovery from depression, anxiety and mood disorders<br><br>

<b>Ontario Peer Support and Recovery Programs</b>, 416-486-8046 ext 223 -- peer support programs in Ontario * also includes Wellness Recovery Action Plan (WRAP), Gaining Autonomy with My Medication (GAM), and Laughing Like Crazy",41754
36,Turning Point Youth Services,(50) Non Profit ; (51) Registered Charity,416-925-9250,info@turningpoint.ca,www.turningpoint.ca,"95 Wellesley St E
Toronto, ON     M4Y 2X9","Church-Yonge Corridor, 75","Wheelchair accessible main entrance, assistance needed with door ; Barrier-free washroom ; Parking close to entrance ; Residences not accessible","Mon-Fri 8:30 am-4:30 pm,  also Tue 4:30 pm-8 pm * evening therapy appointments available * <b>shelter</b> -- Mon-Sun 24 hours","Residential treatment, mental health counselling and other nonresidential services -- youth 12-18 years with social, emotional and behavioural difficulties, and their families * some programs up to 24 years * see specific programs for details",English ; Access to French Language Services ; Access to interpreters for other languages,"Call, email or visit website for information * residential treatment, counselling and other nonresidential services -- contact Intake at 416-925-9250 ext 224 for details","Residential and nonresidential programs * structured, individualized treatment * support and counselling * Youth Justice Services<br><br>

<b>Clifton House, Withrow House, Woodycrest House</b> -- residences * individual and family therapy * life skills * client focused * self management skills * child welfare and young offender residents * rents geared to income * combined capacity 24<br><br>

<b>Concurrent Disorders Program</b> -- short term residential program for young men 16-24 years * support and stabilization * development of life skills and family and community support networks * preparation for longer term treatment * assistance with securing permanent housing * intensive case management * follow up * capacity 6<br><br>

<b>Counselling Services</b> -- mental health counselling and assessment for youth 12-18 years * individual, family and group therapy * self or professional referral * referrals to TPYS residential programs or community-based services<br><br>

<b>Project Going Home</b> -- offers individuals the means necessary to return to their home communities * travel expenses * food * supportive counselling and referrals to local community supports * community or self referrals<br><br>

<b>Redwood House</b> -- transitional residential program for young men 16-24 years, able to live cooperatively and manage a personal budget * some support and instrumental assistance * monetary contribution required * capacity 8 * referral from agency, community or self referral<br><br>

<b>Shelter</b> -- short term emergency residence for young men 16-24 years * food * supportive counselling * referrals * evening and day programming * housing support * employment and community support * capacity 35<br><br>

<b>The Classroom (Section 23)</b> -- educational services for residents and nonresidents * individualized attention to academic and behavioural difficulties * life skills * drug abuse * family intervention * ethnospecific counselling * aftercare<br><br>

<b>Turning Point Program</b> -- court diversion program for youth 12-18 years with a probation order to attend * emphasis on developing positive social, cognitive, problem solving and decision making skills * conflict resolution<br><br>

<b>Youth Court Mental Health Program</b> -- court diversion program for youth 12-17 years with a mental health disorder * counselling, assessment, case management, referral and treatment * court and probation referral only * in partnership with Griffin Centre -- see separate entry",42129
37,Native Child and Family Services of Toronto,(50) Non Profit ; (51) Registered Charity,416-969-8510,info@nativechild.org,www.nativechild.org,"30 College St
Toronto, ON     M5G 1K2","Bay Street Corridor, 76",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Dedicated accessible washroom with all features,Mon-Fri 9 am-5 pm * evening appointments and programs,"Aboriginal people, including First Nations, Inuit and Métis * children in need of protection under the Child and Family Services Act <br><br>

<b>PAR program</b> -- offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence",English ; Ojibway ; interpreters for other Native languages,"Drop in or call <br><br>

<b>PAR program</b> -- call to schedule an intake/assessment meeting","Child protection services * family violence treatment and prevention including child sexual abuse * individual and family counselling * programs for women in abusive relationships * member agency of Support Services Network for Male Survivors in Ontario * children's mental health program * recruitment, education and support for foster and adoptive parents * addiction and mental health case management * early intervention/care planning * aftercare<br><br>

<b>Partner Assault Response (PAR)</b> -- 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict * victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offender’s progress <br><br>

<b>Prevention and Support Programs</b> -- family support and development * parenting circles * community kitchen * clothing bank <br><br>

<b>Youth Programs</b> -- drop-in for youth 16-24 years * outreach * counselling * support * transitional housing * substance abuse prevention * HIV prevention * social, recreation and cultural activities <br> <br>

<b>Educational Programs</b> -- Aboriginal Ontario Early Years Centre -- local lead agency for Ontario Early Years Centres * education and support for families with children birth-6 years * summer day camp and residential camp * GED program at Native Learning Centre (83 Alexander Street, tel. 416-393-0358) and Scarborough office -- for youth 18-20 years <br><br>
See branch records for additional information",42397
38,Telehealth Ontario,(30) Provincial Government,,,www.health.gov.on.ca/en/public/programs/telehealth,,,Not Applicable,Mon-Sun 24 hours,,English ; French ; interpreters available for other languages,,"Confidential telephone service * Registered Nurses provide advice on symptoms, treatment and health care * general health information * referral to community services *  no Ontario Health Insurance required * program of Ontario, Ministry of Health and Long-Term Care",41785
39,Children's Mental Health Ontario,(50) Non Profit ; (51) Registered Charity,416-921-2109,info@cmho.org,www.kidsmentalhealth.ca,"40 St Clair Ave E, Ste 309
Toronto, ON     M4T 1M9","Rosedale-Moore Park, 98",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Street parking,Mon-Fri 9 am-5 pm,,English,"Call, email or visit website for information","Coordination and communication among children's mental health centres * <b>Find a Centre</b> -- online directory of accredited children's mental health centres * <b>Links Directory</b> -- online listing of website resources * information on children's mental health for children and youth, parents and caregivers, and professionals * public awareness",42044
40,Bayview Community Services,(50) Non Profit ; (51) Registered Charity,416-495-7778,intake@bayviewservices.ca,www.bayviewservices.ca,"250 Consumers Rd, Ste 805
Toronto, ON     M2J 4V6","Henry Farm, 53",Designated parking at entrance - office ; Street parking ; Wheelchair accessible automatic main entrance - office ; Easy access to elevator - office ; Braille elevator with lowered buttons ; Barrier-free washroom including door and stall - office ; Group homes not wheelchair accessible,,"Men and women 16-65 years with a history of serious mental health issues * group homes -- no recent history (previous 6 months) of substance abuse or violent behaviour, no criminal record * case management -- no history of uncontrollable violent behaviour * apartments -- case management clients who are eligible for Toronto Community Housing Corporation (TCHC) housing","English ; Assyrian, Farsi, Hebrew, Russian, Ukrainian available for case management services","Professional referral required * contact Intake Coordinator at 416-495-7778 ext 22, email intake@bayviewservices.ca * <b>supportive housing or case management</b> -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Supportive housing with life skills teaching * discharge planning * follow up<br> <br> 

<b>Bayview House</b> -- medium support co-ed group home * capacity 10 * shared bedrooms * staffed weekdays and some weekends * length of stay indefinite<br> <br> 

<b>Bayview Cooperative</b> -- low support co-ed group home * capacity 6 * single rooms * staff support twice weekly * length of stay indefinite<br> <br> 

<b>Bayview Apartments</b> -- permanent housing in North York and Scarborough for case management clients * partnership with TCHC * capacity 65<br> <br> 

<b>Bayview Case Management Services</b> -- offered with or without a housing component",41751
41,Ontario Institute for Studies in Education of the University of Toronto,(50) Non Profit,416-978-0620,oiseclinic@utoronto.ca,oise.utoronto.ca/psychservices,"252 Bloor St W, Rm 7-296
Toronto, ON     M5S 1V6","Annex, 95",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall - main floor,"September-May -- Mon-Fri 10 am-6 pm, after hours by appointment * <b>June-August -- no service</b>","Adults and adolescents with interpersonal, emotional or learning problems * children with learning and/or academic and/or social and emotional problems",English,No referral required,"<b>Therapeutic services</b> -- counselling for adults, parents and adolescents * individual psychotherapy -- relationship problems, depression, anxiety, sexual abuse, eating disorders * <b>assessment services</b> -- psychological, educational, learning disabilities for  adults, adolescents and children * literacy centre for children -- remedial and corrective reading, tutoring * clients are seen by supervised graduate students",42276
42,Oolagen Youth Mental Health,(50) Non Profit ; (51) Registered Charity,416-395-0660,contact@oolagen.org,www.oolagen.org,"65 Wellesley St E, Ste 500
Toronto, ON     M4Y 1G7","Church-Yonge Corridor, 75","Wheelchair accessible automatic main entrance ; Easy access to elevator - lowered buttons ; Wheelchair accessible washroom, assistance needed with door - sink not roll-under and dispensers are high","Mon 9 am-7 pm, Tue-Thu 9 am-8 pm, Fri 9 am-5 pm * <b>What's Up Walk-In Counselling Clinic</b> -- Mon, Thu-Fri 9 am-1pm (last appointment 11:30 am); Tue 12 noon-8 pm (last appointment 6:30 pm); Wed 3 pm-6 pm (last appointment 4:30 pm)","Youth 13-18 years, and their families",English,"Call or visit website for information * What's Up Walk-In Counselling Clinic -- no appointment required, sessions booked on a first come first served basis","Individual, family and group therapy for a variety of problems, for youth 13-19 years and their families * assessment and treatment for adolescents * services for physically and sexually abused adolescents, and for adolescent perpetrators <br> <br> 

<b>Intensive Service</b> -- intensive counselling for high risk children and youth up to 18 years and their families<br> <br>

<b>School-Based Mental Health Services</b> -- primarily for adolescents at Forest Hill Collegiate, Marc Garneau Collegiate and Parkdale Collegiate<br> <br> 

<b>What's Up Walk-In Counselling Clinic</b> -- for youth 13-18 years and their families * single session counselling services by mental health professionals on issues of concern, such as school problems, violence, grief and death, family conflict, separation and divorce, alcohol and drug use, depression, eating disorders, sexuality, and suicidal and self-harming behaviours * referrals to services in the community * in partnership with East Metro Youth Services and Yorktown Child and Family Centre -- see separate entries<br> <br>

<b>Wraparound Program</b> -- for street youth and young mothers at risk up to 24 years * helps client assemble a team of professional and lay people to develop and monitor a treatment plan",42156
43,Riverdale Immigrant Women's Centre,(50) Non Profit ; (51) Registered Charity,416-465-6021,reception.riwc@gmail.com,www.riwc.ca,"Riverdale Hub
1326 Gerrard St E
Toronto, ON     M4L 1Z1","Greenwood-Coxwell, 65",Wheelchair accessible building -- call for details,Mon-Fri 9 am-5 pm,"Adults 16 years and older * focus on immigrant women and their families * Essential Pathways to Employment Program -- all Ontario Works (OW) recipients, men and women",English ; French - interpreter available ; Arabic ; Bengali ; Chinese (Cantonese) ; Chinese (Mandarin) ; Chinese (Taiwanese) ; Farsi ; Filipino ; Gujarati ; Hindi ; Kachi ; Marathi ; Punjabi ; Spanish ; Swahili ; Tamil ; Tibetan ; Urdu,Essential Pathways to Employment Program -- referral through Toronto. Employment and Social Services,"Information and referral * counselling -- family, group, crisis and assaulted women * family violence education * advocacy * settlement services -- referrals to legal, housing, health, immigration and employment services * form filling * life skills * job search skills * community economic development<br><br>

<b>Essential Pathways to Employment Program (EPE)</b> -- 8 week program * in-depth skills analysis * action plan development * skills and workplace training * childminding and transportation assistance available through Toronto. Employment and Social Services -- see separate entry<br><br>

<b>Violence Against Women/Youth Program</b> -- individual counselling for crisis, abuse, assault and trauma * stress management, assertiveness training * escort to legal appointments * group and one-on-one counselling for youth experiencing any kind of violence including bullying, child abuse, harassment, girl-on-girl violence, date rape * space for immigrant and refugee youth of colour to explore their cultural identity and sense of belonging in Canada<br><br>

<b>Volunteer and Student Placement Program</b> -- job placements to build skills and gain experience * opportunities in social or settlement services, counselling support, employment help, office administration or reception, marketing and outreach<br><br>

<b>Global Pantry</b> catering service * <b>Social Gardener Cafe</b> * social enterprises
",42064
44,Rosalie Hall,(50) Non Profit ; (51) Registered Charity,416-438-6880,info@rosaliehall.com,www.rosaliehall.com,"3020 Lawrence Ave E
Toronto, ON     M1P 2T7","Bendale, 127",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall,Office -- Mon-Fri 8:30 am-4:30 pm * after hours -- telephone answered by residential staff * extended hours Monday and Thursday evenings (call for details),"Expectant young women, young parents and their children * focus on teen mothers",English ; French - dependent on staff availability during office hours,Contact intake worker,"Children's mental health centre accredited with Children's Mental Health Ontario (see separate entry) * comprehensive range of specialized care and treatment programs for young parents, their children, partners and families * parenting support groups * outreach and support, advocacy and consultation * specialized and licensed child care and support for infants, toddlers and preschoolers (see separate entry)<br><br>

<b>Community Care and Treatment Team</b> -- assists young parents up to 21 years, and their families, with mental health attachment and trauma care * parent-infant interaction assessment * individual and group parenting support * outreach services in partnership with other community organizations<br><br>

<b>Community Counselling</b> -- individual, group and family counselling for pregnant youth, young parents and families * advocacy with housing, social assistance and returning to school * counsellors available for support in community settings such as schools * professional consultation available<br><br>

<b>Residential Care and Treatment</b> -- licensed prenatal and postnatal care and treatment for mothers 12-20 years who seek comprehensive parenting support<br><br>

<b>School Program</b> -- fully accredited secondary education and treatment program for pregnant or parenting youth 20 years and under<br><br>

<b>Young Parent Hub</b> -- groups and activities in cooperation with in-house programs and partner organizations (call for program hours) * Monday programs -- include prenatal classes, group for young fathers up to 25 years, and transition support program for parents up to 23 years with a child up to 12 months * Thursday programs -- group on healthy living topics and fun activities for young parents up to 25 years, infants and children welcome to attend with parent<br><br>

<b>Youth Outreach Services</b> -- outreach to any youth in Dorset Park, and their families * in cooperation with other community agencies<br><br>

Volunteer opportunities * services provided by other agencies -- Toronto Public Health, Jean Tweed Centre, Scarborough Hospital, Toronto District School Board, Toronto Catholic District School Board (see separate entries)",42403
45,Griffin Centre,(50) Non Profit ; (51) Registered Charity,416-222-1153,contact@griffincentre.org,www.griffincentre.org,"1124 Finch Ave W, Unit 1
Toronto, ON     M3J 2E2","York University Heights, 27",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,"Mon-Thu 9 am-8 pm, Fri 9 am-5 pm","Youth and young adults 15-25 years with addiction or addiction and mental health challenges, living in Jane/Finch and surrounding northwest Toronto community, and their families",English ; Twi ; Interpretation available for other languages,"Call, email or visit website for information * intake assessment required * self referral or referral by family member, service provider, hospital, or community agency","Mental health and substance use services for transitional age youth including complex care coordination and intensive case management, individual and family counselling, group support and activities, educational workshops, outreach and community capacity building * access to other Griffin Centre services<br><br>

In partnership with LOFT Community Services -- see separate entry",42263
46,St Joseph's Health Centre,(50) Non Profit,416-530-6000,,www.stjoe.on.ca,"30 The Queensway
Toronto, ON     M6R 1B5","High Park-Swansea, 87",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking on street and in parking garage,Mon-Sun 24 hours,,English ; interpreter services for other languages,,"Acute care hospital * surgery and cancer care * obstetrics and pediatrics * psychiatric unit <br><br>

<b>Ambulatory Care Centre</b> -- wide range of outpatient clinics * physician referral required<br><br>

<b>Family Medicine Centre</b> 416-530-6860 -- Monday-Thursday 9-8, Friday 9-5 * online list of <a href=""http://www.stjoe.on.ca/patients/accepting_patients.php
"">physicians</a> accepting new patients<br><br>

<b>Mental Health Programs </b>-- outpatient mental health * child and adolescent program * substance abuse during pregnancy * <b>Mobile Crisis Intervention Team</b> in response to 911 call<br><br>

<b>Elderly Community Health Services </b>-- assessment and consultation for frail elderly persons * referrals to community supports * Community Osteoporosis Program with Education (COPE)<br><br>

<b>Lifeline Program </b>416-530-6453 -- 24 hour emergency response program to help seniors and medically at risk persons to continue to live safely in their own homes * fee-for-service",42408
47,Syme Woolner Neighbourhood and Family Centre,(50) Non Profit ; (51) Registered Charity,416-767-2186,,www.symewoolner.org,"George Syme Community School
69 Pritchard Ave, Rms 110, 101
Toronto, ON     M6N 1T6","Rockcliffe-Smythe, 111",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; programs held in accessible locations,Mon-Fri 9 am-5 pm,Family programs -- parents or caregivers with children birth-6 years * youth programs -- children and youth to 18 years,English ; Somali ; Spanish ; Vietnamese,Drop in or call,"<b>Women and family programs</b> -- caregiver and child drop-in * family resource library * parent relief cooperative * support groups for caregivers, single parents and women * parenting workshops and courses * family outings * child care registry * educational workshops for newcomer women<br> <br> 

<b>Children and youth programs</b> -- after school drop-in * March break programs and summer day camps for children 6-12 years * summer day camp for youth 13-18 years * counselling * trips and outings * 2 preschool programs for children birth-6 years of Punjabi, Somali and Spanish-speaking parents and caregivers * Moms and Babes support group * Ontario Early Years Centre",42422
48,Blake Boultbee Youth Outreach Service,(50) Non Profit ; (51) Registered Charity,416-465-1410,rod@bbyos.org,www.bbyos.org,"41 Blake St
Toronto, ON     M4J 3E2","Blake-Jones, 69",Not Accessible ; Street parking close to entrance,Mon-Fri 8 am-6 pm * some evening appointments,Children and youth 12-25 years and their families,English,Walk in * self or agency referral,"Outreach * individual and family psychotherapy and advocacy * support groups * substance abuse prevention * counselling and support for interpersonal relationships, employment and education, life skills, anger management, sexuality and sexual health",42333
49,Toronto East General Hospital,(50) Non Profit ; (51) Registered Charity,Switchboard 416-461-8272 ; Patient Directory Line 416-469-6487,community@tegh.on.ca,www.tegh.on.ca,"825 Coxwell Ave
Toronto, ON     M4C 3E7","Danforth Village-East York, 59",Wheelchair accessible building including main entrance and barrier free washrooms * limited designated and street parking close to entrance,Mon-Sun 24 hours,,English ; Language Line service for other languages,,"Acute care hospital * complex continuing care * inpatient rehabilitation * alternate level of care<br><br> 
Cancer care * cardiology * child development centre * diabetes care * geriatric assessment * hematology * neonatal care * nephrology * obstetrics * palliative care * pediatrics * prolonged-ventilation weaning centre * psychiatry * respiratory diseases * surgery<br><br>
<b>Breastfeeding Centre for Families 416-469-6667 </b>-- Monday-Saturday 10 am- 3 pm * counselling and support by lactation consultant and/or public health nurse * walk in, no referral <br><br>
<b>DEC NET (Diabetes Education Community Network of East Toronto) 416-461-9042 </b>-- diabetes self management education, supports and services * in partnership with local agencies<br><br>
<b>Family Health Centre,</b> 840 Coxwell Ave, 416-469-6464 * <a href="" http://www.tegh.on.ca/bins/p5_1.asp?cid=2-37 ""> online referral</a> to family physicians in South East Toronto, or call 416-469-6363<br><br>
<b>Mental health outpatient programs 416-461-2000</b> -- brief counselling * child and adolescent programs * community recreation for socially isolated adults with mental health issues * crisis intervention * day treatment * prevocational rehabilitation * psychoeducation for adults with depression * psychogeriatric program * rehabilitation for adults with psychotic disorder * Mobile Crisis Intervention Team -- crisis assessment and intervention by a Registered Nurse and Police Constable in response to a 911 call<br><br>
<b>East Toronto Postpartum Adjustment Program 416-469-7608</b> -- education and group support * free child care provided * in partnership with several other agencies",41631
50,Youthdale Treatment Centres,(50) Non Profit ; (51) Registered Charity,416-368-4896,,www.youthdale.ca,"227 Victoria St
Toronto, ON     M5B 1T8","Church-Yonge Corridor, 75",Barrier-free washroom including door and stall ; Wheelchair accessible rear entrance including ramp ; Street and lot parking,Mon-Fri 9 am-5 pm * Crisis Support Team -- Mon-Sun 24 hours,,English,Call intake or crisis services for assessment,"Residential treatment centres in various locations for youth 12-18 years with emotional, behavioural and adjustment difficulties * outpatient counselling and assessment for youth and their families * Sleep Centre * also rural program including Youthdale Camp in Magnetawan, 705-387-4575 ext 233, ycamp@youthdale.ca<br><br> 

<b>Mobile Crisis Support Team 416-363-9990</b> -- professional team responds to children and youth in crisis, supports family or agency in crisis resolution * Acute Support Unit -- 10 bed, secure short term residential crisis unit for youth from 12 to under 16 years at risk to themselves or others * children under 12 years admitted only with Ministry of Community and Social Services' consent * assessment, crisis intervention, case management support for referring agencies<br><br> 

<b>Transitional Psychiatric Unit</b> -- 10 bed unit for children and youth under 16 years with emotional, psychological and/or cognitive impairments<br><br> 

<b>Medical Consultation Clinic</b> -- for general practitioners who work with youth who live at home with their families * consultation with a Youthdale child psychiatrist regarding medication concerns",42240
51,Psychiatric Patient Advocate Office,(50) Non Profit,416-327-7000,ppao.moh@ontario.ca,www.ppao.gov.on.ca,"North American Life Tower
5700 Yonge St, 5th Fl
Toronto, ON     M2M 4K5","Newtonbrook West, 36",Wheelchair accessible automatic main entrance ; Easy access to elevator - braille features ; Barrier-free washroom including door and stall ; Also accessible via Finch subway station,Mon-Fri 8:30 am-5 pm,"Patients admitted to designated hospitals that have a mental health unit (Schedule 1) * also clients living in the community who are placed on a community treatment order and their substitute decision makers, if any",English ; translation and interpretation may be arranged for other languages,Self or professional referral -- call for information,"Administers and coordinates advocacy and rights advice services * public information * systemic advocacy * information and referral for those ineligible for the service * literature in English and French<br> 
<br> 
Greater Toronto Area field offices located at Centre for Addiction and Mental Health <b>416-535-8501 ext 3199</b> and Ontario Shores Centre for Mental Health Sciences <b>905-430-4047</b> are independent services that provide confidential advocacy and rights advice for inpatients in the areas of legal, therapeutic and social entitlements",42101
52,Kids Help Phone,(50) Non Profit ; (51) Registered Charity,Administration 416-586-5437,info@kidshelpphone.ca,www.kidshelpphone.ca,,,Not Applicable,Telephone Counselling -- Mon-Sun 24 hours * Live Chat Counselling (English) -- Thu-Sun 6 pm-12 midnight * Live Chat Counselling (French) -- Fri-Mon 6 pm-12 midnight,"Children, youth and young adults 5-20 years",English ; French,,"Telephone and online counselling, information and referral on a wide range of topics * anonymous and confidential * <b>Always There</b> -- mobile application * <b><a href=""http://www.kidshelpphone.ca/ResourcesAroundMe"">Resources Around Me</a></b> -- national searchable online database of community resource listings",42328
53,Mood Disorders Association of Ontario,(50) Non Profit ; (51) Registered Charity,,info@mooddisorders.ca,www.checkupfromtheneckup.ca,,,Not Applicable,,,English ; French,,"Bilingual website promoting early identification of depression, bipolar disorder and anxiety disorders through confidential, online, self-administered mental health check-up * downloadable fact sheets * searchable database of mood disorder clinics, support groups, psychologists * online directory of crisis centres across Canada * collaborative project of Mood Disorders Association of Ontario, Sunnybrook Health Sciences Centre, Ontario Psychological Association and Ontario College of Family Physicians, Collaborative Mental Health Care Network",41754
54,Children's Aid Society of Toronto,(50) Non Profit ; (51) Registered Charity,416-462-1010,,www.parcyouth.com,"469 Pape Ave
Toronto, ON     M4K 3P9","Blake-Jones, 69",Unknown,"Mon-Thu 9 am-9 pm, Fri 9 am-5 pm * after hours -- by appointment",Youth 16 years and older leaving the care of any children's aid society,English,,"Transition program * counselling on employment, housing, literacy, substance abuse, independence, sexual assault, sex education * peer speakers * recreation activities",42129
