,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
28,Toronto Public Health,(20) Regional Government,Toronto Health Connection 416-338-7600 ; After hours emergency 311 (outside city limits 416-392-2489),publichealth@toronto.ca,www.toronto.ca/health,"277 Victoria St, 5th Fl
Toronto, ON     M5B 1W2","Church-Yonge Corridor, 75",Wheelchair accessible building including main entrance and barrier free washrooms,Mon-Fri 8:30 am-4:30 pm,Varies by program,English,,"Health promotion, health protection and disease prevention programs and services<br><br>
Air quality health index * beaches water quality * communicable disease control * DineSafe inspections of establishments that prepare and serve food, including restaurants, day care centres and nursing homes * emergency planning and preparedness * extreme heat/cold alerts * food handler certification program * health status reports * immunization * prenatal and parenting programs * Toronto Preschool Speech and Language Services -- see separate entry<br><br>
<b>Healthy Babies Healthy Children </b>-- home visiting program for pregnant women and parents of children birth-3 years<br><br>
<b>Dental services </b>-- free <a href="" http://www.toronto.ca/health/dental/locations.htm ""> dental clinics </a>
for eligible children and youth birth-17 years, adults enrolled in selected Toronto Public Health programs, and seniors 65 years and older * mobile dental clinic travels to selected community agencies -- call 311 for details * website lists <a href="" http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=8c1b7dbbfd510410VgnVCM10000071d60f89RCRD&vgnextchannel=51b74485d1210410VgnVCM10000071d60f89RCRD&vgnextfmt=default""> low-cost dental clinics </a>
for those not eligible for free services<br><br>
<a href="" http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=442a9561d1352410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">eCounselling</a>
-- online counselling with a public health nurse or dietician<br><br><a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=7a9eebfc2bb31410VgnVCM10000071d60f89RCRD"">Online information </a>
-- alcohol and drug abuse * bed bugs * environmental health * food safety * healthy child development * healthy living * injury prevention * mental health * nutrition * smoking cessation * workplace health<br><br>
Helplines:<br><br>
<b>AIDS & Sexual Health Infoline </b>416-392-2437 (416-392-AIDS)<br><br>
<b>Immunization Information Line </b>416-392-1250<br><br>
<b>The Works </b>-- methadone clinic and needle exchange 416-392-0520, or if busy 416-392-0521",2014-05-29
29,Fem'aide : Francophone helpline for women affected by violence,(50) Non Profit,,,www.femaide.ca,,,Not Applicable,Mon-Sun 24 hours,Francophone women 16 years and older,French,Call or visit the website,"Provincial crisis line confidential services for Francophone women who are victims or survivors of any form of violence or are in distress * crisis intervention, support and referral to community agencies * educational workshops * confidential calls",2015-02-20
30,Planned Parenthood Toronto,(50) Non Profit ; (51) Registered Charity,416-961-3200 ; Text only 647-933-5399,teenhealthsource@ppt.on.ca,teenhealthsource.com,,,Not Applicable,"Mon-Thu 4 pm-9 pm, Sat 12 noon-5 pm",Youth 13-19 years,English,"Call, email, instant message (teenhealthsource@ppt.on.ca), or text (647-933-5399) * online chat available at teenhealthsource.com","Confidential telephone and comprehensive online information and referral on sexual health issues such as relationships, puberty, sexuality, birth control, sexually transmitted infections * provided by trained peer volunteers * sex-positive, pro-choice, non-judgmental and inclusive approach",2016-02-08
31,"University Health Network, Toronto Western Hospital",(50) Non Profit ; (51) Registered Charity,416-603-5888,,www.uhn.ca,"399 Bathurst St, West Wing, 2nd Fl
Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,"Mon-Tue, Thu 9 am-8 pm; Wed 1:30 pm-8;pm Fri 8:30 am-4:30 pm; Sat 9 am-12:30 pm",Residents of catchment area,English ; professional interpreters for physician-patient encounters * interpretation services 416-603-6400,Call for appointment,"Family health clinic * multidisciplinary team including doctors, nurses, nurse practitioners, social worker, pharmacists, chiropodist * prenatal, obstetrical and newborn care * family planning * sexual health",2014-01-31
32,Women's College Hospital,(50) Non Profit,416-351-3700,bcbc@wchospital.ca,www.womenscollegehospital.ca/programs-and-services/bcbc/,"76 Grenville St, 3rd Fl
Toronto, ON     M5S 1B2","Bay Street Corridor, 76",Wheelchair accessible building including main entrance and barrier free washrooms,"Mon, Fri 9 am-5 pm; Tue-Thu 9 am-8 pm",Women,English ; printed material available in several languages,Appointments preferred * drop ins accommodated if possible * no referral required,"Birth control * pregnancy testing, counselling and referrals * abortion information, counselling and referrals * Pap tests * testing and treatment for sexually transmitted infections * anonymous HIV tests * HIV information and treatment referrals * Hepatitis B vaccination * safer sex counselling and information",2015-11-27
33,Scarborough Hospital,(50) Non Profit,416-495-2555,,www.tsh.to/areas-of-care/emergency/sexual-assault-and-domestic-violence/,"3030 Birchmount Rd
Toronto, ON     M1W 3W3","L'Amoreaux, 117",Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator with lowered buttons * designated parking,Emergencies -- Mon-Sun 24 hours * office -- Mon-Fri 9 am-5 pm,"Female, male and transgendered individuals 12 years and older, who have been sexually assaulted or have experienced intimate partner violence",English ; Interpretive services,By referral from the Emergency Department at either General or Birchmount campus -- see separate listings,"24-hour emergency care * medical assessment and treatment * crisis intervention * forensic documentation and evidence collection * risk assessment * safety planning * referral to community resources<br><br>

Follow up counselling services provided at Scarborough Centre for Healthy Communities, 416-847-4144 -- see separate entry",2016-01-05
34,Planned Parenthood Toronto,(50) Non Profit ; (51) Registered Charity,416-351-3700,,www.ppt.on.ca,"Bay Centre for Birth Control
790 Bay St, 8th Fl
Toronto, ON     M5G 1N8","Bay Street Corridor, 76",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Underground parking,"Peer-to-peer education -- Tue-Thu 5 pm-8 pm, Sat 9:30 am-12:30 pm * Check It Out -- Wed 4 pm-7:30 pm",,English,,"<b>Peer-to-peer education</b> -- in-person information on sexual and reproductive health issues including birth control options, emergency contraception, fertility awareness, pregnancy options including abortion, healthy sexuality and relationships, sexually transmitted infections, HIV/AIDS, safer sex practices * free condoms * provided by trained volunteers * call for appointment<br><br>

<b>Check IT Out, www.check-it-out.ca</b> -- drop-in program providing pap tests only * for lesbian, bisexual, queer or gay women, and any other women who have sex with women * no appointment necessary * no Ontario Health Insurance required * female clinicians * online information on pap tests, human papillomavirus (HPV), cervical cancer<br><br>

Also Mobile Health Unit (MHU) and sexual health workshops provided to women's shelters
",2014-06-27
35,Ontario. Ministry of Health and Long-Term Care,(30) Provincial Government,AIDS and Sexual Health Infoline 416-392-2437,,www.toronto.ca/health/sexualhealth/aids_hotline.htm,,,Not Applicable,"Mon-Fri 10 am-10:30 pm, Sat-Sun 11 am-3 pm * closed statutory holidays",Open to all Ontario residents,English ; French ; call for availability of other languages,,"Anonymous and non-judgmental counselling * referrals to clinics and community agencies * crisis intervention * administered through Toronto Public Health (see separate entry)<br> <br>

<b>AIDS and Sexual Health Infoline</b> -- current information and support on HIV/AIDS, counselling and referral to Point of Care HIV Rapid Test sites, pre-test and post-test options, safer sex, risk assessment, sexually transmitted diseases, birth control options, emergency contraception, sexuality, relationship concerns, pregnancy and options, sexual orientation<br> <br>

<b>The Mainline 1-800-686-7544</b> -- current information and support on issues related to harm reduction, injection drug use and needle exchange programs",2015-06-12
36,Crossways Sexual Health Clinic,(50) Non Profit,416-392-0999,,,"2340 Dundas St W
Toronto, ON     M6P 4A9",,Fully Accessible,"Mon 9:30am-12noon, 2pm-6:30pm * Tue 1pm-5:30pm * Wed 9:30am-11:30am, 1pm-3:30pm * Thu 12noon-4pm * Fri 9:30am-12noon",People who need sexual health services,English,Call or drop-in * no referral required,Sexual health clinic * health professionals test for and treat sexually transmitted infections * family planning services<br><ul><li>birth control counselling</li><li>low-cost or free birth control</li><li>emergency birth control</li><li>pregnancy testing and counselling</li><li>sexual health information and counselling</li><li>sexuality and relationship counselling</li><li>Pap smears</li><li>breast exams</li><li>rapid HIV testing</li></ul>,2015-07-21
37,Bloor West Village Women's Clinic,(60) Commercial,416-849-4595,,,"2425 Bloor St W, Ste 403
Toronto, ON     M6S 4W4",,Fully Accessible,"Mon-Wed, Fri-Sat 9 am-6 pm * walk-in service available most mornings * call first to confirm",No restrictions,English,Call for information or to make an appointment,"Abortion services up to 14 weeks gestation * pre-abortion and birth control counselling, and follow-up * all female staff * parental consent not required",2015-01-26
38,Jane St Sexual Health Clinic,(50) Non Profit,416-338-7272,,,"662 Jane St
Toronto, ON     M6N 4A7",,,Tue 1pm-5:30pm * Wed 2pm-6:30pm * Thu 9:30am-4 pm * closed 11:30am-1pm,People who need sexual health services,English,Drop-in * no referral or identification required,Sexual health clinic * health professionals test for and treat sexually transmitted infections * family planning services<br><ul><li>birth control counselling</li><li>low-cost or free birth control</li><li>emergency birth control</li><li>pregnancy testing and counselling</li><li>rapid HIV testing</li><li>sexuality and relationship counselling</li><li>Pap smears</li><li>breast exams</li></ul>,2015-02-05
39,Ryerson Medical Centre,(50) Non Profit,416-979-5070,medicalct@ryerson.ca,www.ryerson.ca,"350 Victoria Rd S
Toronto, ON     M5B 2K3",,,Mon-Fri 9am-5pm,Students and staff who need medical care * valid health card required,English,Call or drop in * no referral required,University community medical clinic * health professionals assess and treat minor infections and injuries<br><ul><li>pregnancy testing and counselling</li><li>testing for sexually transmitted infections</li><li>Pap smears</li><li>breast exams</li><li>sexuality and relationship counselling</li><li>immunizations</li></ul>,2015-03-11
40,University of Toronto - Main Campus - Health Services,(50) Non Profit,416-978-8030,,healthservices.utoronto.ca,"214 College St, 2nd Floor
Toronto, ON     M5T 2Z9",,Fully Accessible,"Mon, Thu, Fri 8:45am-5pm * Tue, Wed 8:45am-7pm",Students who need medical care * valid health card required,English,Call for an appointment * no referral required<br>Drop-in appointments on a first-come first-served basis,University community medical clinic * health professionals assess and treat minor infections and injuries<br><ul><li>birth control counselling</li><li>testing for sexually transmitted infections</li><li>pregnancy testing and counselling</li><li>emergency birth control</li><li>Pap smears</li><li>breast exams</li><li>immunizations</li><li>travel immunization</li><li>smoking cessation program (help to quit smoking)</li></ul>,2015-03-13
