,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
32,Sunnybrook Health Sciences Centre,(50) Non Profit,Switchboard 416-480-6100 * Patient inquiry 416-480-4246,questions@sunnybrook.ca,www.sunnybrook.ca,"2075 Bayview Ave
Toronto, ON     M4N 3M5","Bridle Path-Sunnybrook-York Mills, 41",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,,English ; Interpretive services available with advance notice,,"Acute care hospital <br><br>

<b>Major programs:<br><br>

Brain Sciences </b>-- stroke centre * Alzheimer and other dementias * neurodegenerative disorders * mood and anxiety disorders * <b>Cancer centre </b>-- inpatient and outpatient programs * prevention, diagnosis, treatment, supportive care, palliative care * breast screening * <b>Heart centre </b>-- cardiac care, cardiac and vascular surgery * <b>Holland Orthopaedic and Arthritic Centre</b>-- see separate entry * <b>St John's Rehab</b> -- see separate entry * <b>Trauma centre </b>-- critical care * burn centre * <b>Veterans care</b> -- resident care * dementia care * palliative care * <b>Women and Babies</b> -- obstetrics * gynecology * neonatal intensive care <br><br>

<b>Medical divisions:</b><br><br>

Audiology * dermatology * endocrinology, including diabetes education centre * gastroenterology * geriatrics * infectious diseases, including HIV clinic * nephrology and dialysis * neurology * ophthalmology * respirology * rheumatology * sports medicine <br><br>

<b>Mental health programs </b> -- inpatient, outpatient, day treatment, psychiatric intensive care * programs for mood, anxiety, compulsion, hoarding * youth programs * geriatric psychiatry * psychiatric assessment and treatment for seniors in their homes * <b>Family Navigation Project, 1-800-380-9367 (1-800-380-9FNP), familynavigation@sunnybrook.ca</b> -- phone and email support in navigating the mental health and addictions service system, for youth 13-26 years and their family<br><br>

<b>Dental Clinic </b>-- full dental care for persons who are medically compromised or require specialized dental care, surgery or consultation including HIV/AIDS and hepatitis * referral required<br><br>

<b>Lifeline Program 416-442-5545 </b>-- emergency response program to help frail elderly and medically at risk persons to continue to live in their own homes * fee",2013-12-20
33,Toronto East General Hospital,(50) Non Profit ; (51) Registered Charity,Switchboard 416-461-8272 ; Patient Directory Line 416-469-6487,community@tegh.on.ca,www.tegh.on.ca,"825 Coxwell Ave
Toronto, ON     M4C 3E7","Danforth Village-East York, 59",Wheelchair accessible building including main entrance and barrier free washrooms * limited designated and street parking close to entrance,Mon-Sun 24 hours,,English ; Language Line service for other languages,,"Acute care hospital * complex continuing care * inpatient rehabilitation * alternate level of care<br><br> 
Cancer care * cardiology * child development centre * diabetes care * geriatric assessment * hematology * neonatal care * nephrology * obstetrics * palliative care * pediatrics * prolonged-ventilation weaning centre * psychiatry * respiratory diseases * surgery<br><br>
<b>Breastfeeding Centre for Families 416-469-6667 </b>-- Monday-Saturday 10 am- 3 pm * counselling and support by lactation consultant and/or public health nurse * walk in, no referral <br><br>
<b>DEC NET (Diabetes Education Community Network of East Toronto) 416-461-9042 </b>-- diabetes self management education, supports and services * in partnership with local agencies<br><br>
<b>Family Health Centre,</b> 840 Coxwell Ave, 416-469-6464 * <a href="" http://www.tegh.on.ca/bins/p5_1.asp?cid=2-37 ""> online referral</a> to family physicians in South East Toronto, or call 416-469-6363<br><br>
<b>Mental health outpatient programs 416-461-2000</b> -- brief counselling * child and adolescent programs * community recreation for socially isolated adults with mental health issues * crisis intervention * day treatment * prevocational rehabilitation * psychoeducation for adults with depression * psychogeriatric program * rehabilitation for adults with psychotic disorder * Mobile Crisis Intervention Team -- crisis assessment and intervention by a Registered Nurse and Police Constable in response to a 911 call<br><br>
<b>East Toronto Postpartum Adjustment Program 416-469-7608</b> -- education and group support * free child care provided * in partnership with several other agencies",2013-12-23
34,"University Health Network, Toronto General Hospital",(50) Non Profit ; (51) Registered Charity,Switchboard 416-340-4800 * Patient Inquiry 416-340-3131,,www.uhn.ca,"200 Elizabeth St
Toronto, ON     M5G 2C4","Bay Street Corridor, 76",Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator * designated and street parking close to entrance,Mon-Sun 24 hours,,English ; professional interpreters for physician-patient encounters * interpretation services 416-603-6400,Physician referral required for most services -- call for details,"Acute care hospital * cardiac care * transplantation * surgery and critical care<br><br>
Outpatient clinics -- cardiac * diabetes * eating disorders * geriatric psychiatry * hearing aid dispensary * kidney disease * osteoporosis <br><br>
<b>Women's mental health clinic </b>-- assessment and treatment of mental illness arising from issues related to the reproductive cycle, and issues related to sexual abuse and violence",2014-01-30
35,"University Health Network, Toronto Western Hospital",(50) Non Profit ; (51) Registered Charity,Switchboard 416-603-5800 * Patient Inquiry 416-603-5801,,www.uhn.ca,"399 Bathurst St
Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,,English ; professional interpreters for physician-patient encounters * interpretation services 416-603-6400,,"Acute care hospital<br><br>
Areas of focus -- neural and sensory sciences * community and population health * musculoskeletal health and arthritis <br><br>
Artists health centre * asthma * cardiac and pulmonary rehab * Diabetes Education Centre * eye clinic * memory clinic * movement disorders clinic * sleep clinic * stroke clinic * Tourette's Clinic * tuberculosis clinic <br><br>
<b>Mental Health and Addictions Programs</b> -- addictions outpatient assessment, counselling and aftercare * acupuncture for addictions * withdrawal management (see separate listings) * psychiatric assessment and treatment * brief psychotherapy * urgent care assessment clinic * family support in Spanish, Italian and Portuguese * Asian Initiative in Mental Health (see separate listing) * Portuguese Mental Health and Addiction Services (see separate listing)",2014-01-31
36,University of Toronto,(50) Non Profit,416-979-4927,,www.utoronto.ca/dentistry/patientclinic,"101 Elm St
Toronto, ON     M5T 3A7","Bay Street Corridor, 76",Wheelchair accessible building including main entrance and barrier free washrooms * several public parking lots nearby,Mon-Fri 8:30 am-5 pm * <b>extremely limited service through July and August</b>,Paediatric Dentistry Surgicentre -- young children requiring dental care while under deep sedation or general anaesthesia,Interpreters must accompany patients who do not speak English,<b>Avoid calling from 8:30 am-10:30 am and from 12:30 pm-2:30 pm due to high call volume</b> * call or visit website for referral form,"Comprehensive dental care for patients accepted as teaching cases, including denture work * student work supervised by dentists<br><br>
Paediatric Dentistry Surgicentre -- dental care for children with special dental needs",2014-04-29
37,Unison Health and Community Services,(50) Non Profit ; (51) Registered Charity,416-653-5400,,www.unisonhcs.org,"1651 Keele St
Toronto, ON     M6M 3W2","Keelesdale-Eglinton West, 110",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Elevator with braille,"Mon 8:30 am-5 pm, Tue-Thu 8:30 am-8:30 pm, Fri 8:30 am-5 pm * after hours -- answering service * doctor on call for registered clients with medical emergencies, calls returned within one hour","Health Services -- open to all within catchment area * Toronto Public Health dental clinic -- children, adolescents, parents enrolled in select Toronto Public Health programs and seniors",English ; Portuguese ; Spanish ; Vietnamese,Appointment required for most services,"Community health centre * health services, health promotion, community services and community development * no Ontario Health Insurance required for general services 
<br><br>	
<b>Health Services</b> -- family practice including crisis pregnancy, family planning, management of chronic conditions, prenatal and postnatal care, preventative health care, seniors’ health, sexual health --  individual and sexuality counselling,  treatment of sexually transmitted diseases * counselling and case management * dietitian * podiatry clinic
<br><br>
<b>Health Promotion</b> -- anonymous HIV testing * breastfeeding clinic * child and parenting programs, including Spanish-speaking groups * Diabetes Education Centre * harm reduction programs * seniors programs * Toronto Public Health dental clinic * women’s programs, including Vietnamese support group * youth programs
<br><br>
<b>Community Services</b> -- Adult Protective Service program for adults with developmental disabilities * community kitchen * form filling * ID clinic * income tax clinic * legal clinic * Snow Link -- snow clearing registry 
<br><br>
<b> Housing Help Centre </b> -- client advocacy * crisis referral to shelters * eviction prevention * housing search * information and referral * landlord outreach * negotiation with landlords * Share the Warmth * Housing Connections Access centre * other <b>Home Services</b> -- rent bank and Streets to Homes Follow-up services
<br><br>
<b>Unison Links</b> -- drop-in information and referral centre * Monday-Tuesday 10 am-12 noon, 1 pm-3:30 pm; Wednesday 1 pm-3:30 pm,Thursday 10 am-12 noon, 1 pm-3:30 pm * form filling * help with accessing government and community programs * information on services at Unison and other agencies * internet access for searching community, social, health and related government services
<br><br>
Access centre for <b>LEAP (Low Income Energy Assistance Program)</b>, sponsored by Toronto Hydro Electric System and United Way Toronto -- assistance to low income individuals and families who are in arrears for their electricity utility bills and have exhausted all other sources of financial support * <b>for help with Enbridge gas bills call 1-855-487-5327</b>",2015-07-17
38,Ontario. Ministry of Health and Long-Term Care,(30) Provincial Government,,,www.health.gov.on.ca/en/ms/healthcareconnect/public/default.aspx,,,Not Applicable,Mon-Fri 9 am-5 pm,Ontario residents without a regular family health care provider * must have a valid Ontario Health Insurance Card * priority to residents with the greatest need for family health care,English ; French ; call for availability of other languages,"Register by phone or <a href=""https://hcc3.hcc.moh.gov.on.ca/HCCWeb/faces/layoutHCCSplash.jsp"">online</a>","Telephone assistance in locating a physician or nurse practitioner in the local community who is accepting new patients * does not provide health care advice, service or treatment<br>
<br>
<a href=""http://www.ontario.ca/locations/health/""><b>Health Care Options Medical Services Directory</b></a> -- online searchable database of walk-in clinics, urgent care centres and family health care providers in Ontario",2015-06-16
39,TAIBU Community Health Centre,(50) Non Profit,Clinic 416-644-3536 ; Community Programs and Administration 416-644-3539,info@taibuchc.com,www.taibuchc.com,"27 Tapscott Rd, Unit 1
Toronto, ON     M1B 4Y7","Malvern, 132",Wheelchair accessible building including main entrance and barrier free washrooms,"Clinic -- Mon, Wed, Fri 9 am-5 pm * Tue, Thu 9 am-8 pm * administration -- Mon-Fri 9 am-5 pm",Open to the Black community throughout the Greater Toronto Area * also all residents of the catchment area,English ; other languages may be available,,"Community health centre * primary health care * social worker/therapist * dietitian * Toronto Public Health dental clinic for children, youth, seniors and perinatal women * prenatal and postnatal care * early years programs * chronic disease management * sexual health clinic * community programs -- health promotion, community development, community kitchen * no Ontario Health Insurance required for general services",2015-09-17
40,North York General Hospital,(50) Non Profit ; (51) Registered Charity,416-635-2552,,www.nygh.on.ca,"555 Finch Ave W
Toronto, ON     M2R 1N5","Westminster-Branson, 35",Wheelchair accessible building including main entrance and barrier free washrooms * tone elevator * designated parking,"Mon-Fri 9 am-7 pm, Sat-Sun, holidays 9 am-3 pm",,English,,Medical attention for non life threatening illnesses and injuries,2015-10-06
41,Unison Health and Community Services,(50) Non Profit ; (51) Registered Charity,647-436-0385 ; Hub 647-342-7687,bfhub@unisonhcs.org,www.unisonhcs.org,"540 Finch Ave W
Toronto, ON     M2R 1N7","Westminster-Branson, 35",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall,"Unison Health -- Mon, Wed-Fri 8:30 am-5 pm; Tue 8:30 am-8:30 pm * Hub -- Mon, Fri 9 am-5 pm; Tue-Thu 9 am-8:30 pm; Sat 10 am-1 pm",Open to all within catchment area,English ; Farsi ; Filipino ; Korean ; Russian,,"Community health centre * health services, health promotion, community building and community services * no Ontario Health Insurance required for general services 
<br><br>
<b>Health Services</b> -- family practice * counselling and case management * diabetes management * dietitian * podiatry clinic 
<br><br>
<b>Health Promotion</b> -- child care providers training program * seniors programs * Toronto Public Health dental clinic * women’s programs
<br><br>
<b>Community Building</b> -- Action for Neighbourhood Change  (ANC) community development initiative * community garden
<br><br>
<b>Community Services</b> -- lead agency for Bathurst Finch Hub * other services provided by partner agencies including Canadian Ukrainian Immigrant Aid Society, Circle of Care, Downsview Community Legal Services, Family Service Toronto, JVS Toronto, Kababayan Community Centre, KCWA Family and Social Services, Lumacare Services (formerly Downsview Services for Seniors), North York Community House, North York Women's Centre, Toronto Public Health -- see separate entries",2015-08-20
42,Rexdale Community Health Centre,(50) Non Profit ; (51) Registered Charity,416-744-0066,reception@rexdalechc.com,www.rexdalechc.com,"8 Taber Rd
Toronto, ON     M9W 3A4","West Humber-Clairville, 1",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Dedicated accessible washroom with all features,"Mon, Wed 8:30 am-8 pm; Tue, Thu-Fri 8:30 am-5 pm; Sat 9 am-2 pm",Varies by program,English ; diabetes education program offered in several languages * cultural interpreters available for other languages,,"Primary health care provided by doctors and nurse practitioners * counselling and case management * dental clinic for children and seniors * diabetes education centre * drop-in social program for deaf and hard of hearing adults * flu shots * foot care * health promotion * information and referral to services in the community * leadership programs for children and youth * nutrition * physiotherapy * seniors social and health promotion programs * sexual health clinic, including HIV testing * speech and language * well woman clinic * no Ontario Health Insurance required for general services<br><br>
<b>Good Food Box </b>distribution -- see separate entry FoodShare<br><br>
<b>Pathways to Education </b>-- academic and financial support for high school students<br><br>
Some services provided at satellite locations at 609 The East Mall, Unit 32, 2267 Islington Ave and Rexdale Community Hub, 21 Panorama Court -- call for details",2014-04-03
43,Yonge Street Mission,(50) Non Profit ; (51) Registered Charity,416-929-9614 ext 2238,healthcentre@ysm.ca,www.ysm.ca,"381 Yonge St
Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75","Wheelchair accessible main entrance and ground floor, assistance needed with door ; Barrier-free washroom",Health Centre -- Mon-Fri 1 pm-4:30 pm * office -- Mon-Fri 9 am-5 pm,"Street involved and homeless youth only * 24 years and under (no minimum age) * also children, infants of street youth",English,"Walk in only, no appointments","Health services including primary medical care and dental care, check ups, lab tests, including HIV testing * birth control, pregnancy tests, immunization, prenatal care, perinatal services, prenatal and parenting classes * dental care * optometry, eye glasses * chiropractor * nutritionist * physiotherapist * psychiatrist * addictions counselling * traditional Chinese medicine * foot care, socks and shoes * health education * counselling on health issues * referrals * ID replacement * access to diapers, formula, baby food * no Ontario Health Insurance or identification required * child care available",2014-08-15
44,LAMP Community Health Centre,(50) Non Profit ; (51) Registered Charity,416-252-6475,frontdesk@lampchc.org,www.lampchc.org,"185 Fifth St
Toronto, ON     M8V 2Z5","New Toronto, 18",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall,"Mon-Wed 9 am-8 pm, Thu-Fri 9 am-5 pm * after hours, answering service relays message 24 hours * health care providers on call for registered clients with medical emergencies",Residents of catchment area,English,"<b>Primary Health Care</b> -- Call to check if accepting new patients
<b>Asthma Project</b> – by referral only
<b>Dental clinic</b> – by appointment only
<b>Chiropody (Foot Care)</b> – by appointment only","Primary health care services * health education and disease prevention * family physicians, nurse practitioners * doctor on call 24 hours * no Ontario Health Insurance required for general services * Healthy Sex Clinic (family planning) Mon 2 pm-7:30 pm * Naturopathy Clinic Thu 1:45 pm-6:45 pm ; 416-252-9701 ext 295 * Asthma Project <br><br>

<b>Dental Clinic -- 416-252-8576</b> ; Tue, Thu-Fri 8 am-4 pm * free dental care for eligible client * operated by Toronto Public Health <br><br>

<b>Foot Care (Chiropody) 416-252-6471 ext 264</b> ; Mon-Thu <br><br>

<b>Nutrition Counselling and Services 416-252-9701 ext 271</b> * individual counseling (Clinical Days) * nutrition supports for other programs (Community Days) <br><br> 

<b>West Toronto Diabetes Education Program (WTDEP) 416-252-1928</b> -- for people with Type 2 diabetes, prediabetes or at risk and interested in prevention education, counselling and support * one on one assessment, monitoring, and counselling by nurse educators and registered dietitians in many locations -- no referral required",2015-09-08
45,Stonegate Community Health Centre,(50) Non Profit ; (51) Registered Charity,416-231-7070,info@stonegatechc.org,www.stonegatechc.org,"Stonegate Plaza
150 Berry Rd
Toronto, ON     M8Y 1W3","Stonegate-Queensway, 16",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Wheelchair lift,"Mon-Wed 9 am-8 pm, Thu-Fri 9 am-5 pm",Residents of catchment area,English ; Korean ; Polish ; Portuguese ; Russian ; Spanish ; Ukrainian,"Call for appointment, no walk in service","Neighbourhood comprehensive health and social service centre<br><br>

Stonegate Community Health Centre * primary medical care * doctors, nurse practitioners * health education and promotion * individual and family counselling * domestic violence counselling * nutrition counselling * chiropody * asthma and diabetes education * prenatal classes * early years programs * Toronto Public Health dental clinic for children and seniors * no Ontario Health Insurance required for general services<br><br>

Information and referral * help with problems, landlord/tenant issues * youth recreation programs * food security program including Good Food Box distribution -- see separate entry for FoodShare",2015-08-05
46,Swansea Town Hall Community Centre,(50) Non Profit,416-392-1954,frontdesk@swanseatownhall.ca,www.swanseatownhall.ca,"95 Lavinia Ave
Toronto, ON     M6S 3H9","High Park-Swansea, 87",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Wheelchair accessible including main entrance,"Mon-Fri 8 am-10 pm, Sat 8 am-5 pm",Open to all,English,"Call, drop in or visit the website","Community centre including Toronto Public Health dental clinic for children and seniors, public library, Swansea Area Seniors Association * social, cultural, educational and recreational programs * Ontario Early Years Centre * rental space available for use by community groups, businesses, individuals * services provided by other community groups -- Swansea Historical Society, Swansea Area Ratepayers Association, Swansea Horticultural Society * free film nights, annual Remembrance Day Ceremony, other community social events",2014-11-03
47,Holland Bloorview Kids Rehabilitation Hospital,(50) Non Profit ; (51) Registered Charity,416-425-6220,info@bloorview.ca,www.hollandbloorview.ca,"150 Kilgour Rd
Toronto, ON     M4G 1R8","Bridle Path-Sunnybrook-York Mills, 41",Wheelchair accessible building including main entrance and barrier free washrooms * lowered elevator buttons,,"Children and youth birth-19 years with complex long term needs or disabilities such as cerebral palsy, acquired brain injury, muscular dystrophy, amputation, epilepsy, spina bifida, arthritis, cleft-lip and palate, autism and other developmental disabilities",English ; interpreters for other languages,Medical referral required for most services,"Pediatric rehabilitation and complex continuing care hospital * brain injury rehabilitation * specialized orthopedic and developmental rehabilitation<br><br>
<b>Outpatient services</b> -- assessment, consultation and intervention * augmentative and alternative communication * child development * clinical seating * concussion clinic * creative arts and music therapy * dental clinic * feeding * orthotics and prosthetics * respite * summer camp * swim programs * therapeutic recreation and life skills<br><br>
<b>Early learning and development</b> -- home-based infant development consultation and therapy * consultative support to childcare centres on programming, occupational therapy and school transitions * 3 nursery schools -- see separate entries",2015-12-18
48,Toronto Public Health,(20) Regional Government,Toronto Health Connection 416-338-7600 ; After hours emergency 311 (outside city limits 416-392-2489),publichealth@toronto.ca,www.toronto.ca/health,"277 Victoria St, 5th Fl
Toronto, ON     M5B 1W2","Church-Yonge Corridor, 75",Wheelchair accessible building including main entrance and barrier free washrooms,Mon-Fri 8:30 am-4:30 pm,Varies by program,English,,"Health promotion, health protection and disease prevention programs and services<br><br>
Air quality health index * beaches water quality * communicable disease control * DineSafe inspections of establishments that prepare and serve food, including restaurants, day care centres and nursing homes * emergency planning and preparedness * extreme heat/cold alerts * food handler certification program * health status reports * immunization * prenatal and parenting programs * Toronto Preschool Speech and Language Services -- see separate entry<br><br>
<b>Healthy Babies Healthy Children </b>-- home visiting program for pregnant women and parents of children birth-3 years<br><br>
<b>Dental services </b>-- free <a href="" http://www.toronto.ca/health/dental/locations.htm ""> dental clinics </a>
for eligible children and youth birth-17 years, adults enrolled in selected Toronto Public Health programs, and seniors 65 years and older * mobile dental clinic travels to selected community agencies -- call 311 for details * website lists <a href="" http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=8c1b7dbbfd510410VgnVCM10000071d60f89RCRD&vgnextchannel=51b74485d1210410VgnVCM10000071d60f89RCRD&vgnextfmt=default""> low-cost dental clinics </a>
for those not eligible for free services<br><br>
<a href="" http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=442a9561d1352410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">eCounselling</a>
-- online counselling with a public health nurse or dietician<br><br><a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=7a9eebfc2bb31410VgnVCM10000071d60f89RCRD"">Online information </a>
-- alcohol and drug abuse * bed bugs * environmental health * food safety * healthy child development * healthy living * injury prevention * mental health * nutrition * smoking cessation * workplace health<br><br>
Helplines:<br><br>
<b>AIDS & Sexual Health Infoline </b>416-392-2437 (416-392-AIDS)<br><br>
<b>Immunization Information Line </b>416-392-1250<br><br>
<b>The Works </b>-- methadone clinic and needle exchange 416-392-0520, or if busy 416-392-0521",2014-05-29
49,University Health Network,(50) Non Profit ; (51) Registered Charity,Toronto General Hospital 416-340-4800 ; Toronto Western Hospital 416-603-5800 ; Princess Margaret Cancer Centre 416-946-2000 ; Toronto Rehabilitation Institute 416-597-3422,,www.uhn.ca,"Administration
190 Elizabeth St
Toronto, ON     M5G 2C4","Bay Street Corridor, 76",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,,,English ; professional interpreters for physician-patient encounters * interpretation services 416-603-6400,,"Network of downtown hospitals * focus areas -- Cancer, Cardiac, Medical and Community Care, Multi-Organ Transplant, Musculoskeletal Health and Arthritis, Neurosciences, Rehabilitation, Surgical and Critical Care<br>
<br> 
Operates 4 hospitals -- Toronto General Hospital, Toronto Western Hospital, Princess Margaret Cancer Centre and Toronto Rehabilitation Institute * see separate listings for details",2014-02-03
50,Scarborough Hospital,(50) Non Profit,General campus 416-438-2911 * Birchmount campus 416-495-2400,,TSH.to,"3050 Lawrence Ave E
Toronto, ON     M1P 2V5","Bendale, 127",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,,English,,Operates 2 main campuses -- General Campus and Birchmount Campus * see separate listings for details,2015-12-31
51,Central Toronto Community Health Centres,(50) Non Profit ; (51) Registered Charity,Administration 416-703-8482 * Health Services 416-703-8480,,www.ctchc.com,"168 Bathurst St
Toronto, ON     M5V 2R4","Niagara, 82",Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator,"<b>Office </b>-- Mon, Wed-Fri 9 am-4 pm; Tue 1:30 pm-4 pm<br><br>

<b>Medical services</b> -- Mon, Wed-Thu 8 am-8 pm; Tue 1:30 pm-8 pm (1st Tue of each month 8 am-8 pm); Fri 8 am-5 pm * by appointment only before 9 am and after 4 pm","Must live in catchment area * no catchment area restrictions for homeless or underhoused people, or for dental or harm reduction services",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Portuguese ; Spanish,"Call ahead if possible, or drop in to book an intake appointment","Complete medical services -- <b>Queen West Clinic</b> * no Ontario Health Insurance required for general services * well baby care and well woman care * early years and perinatal program * nutrition * health education * visits to homebound clients * dental care including dentures * diabetes education program * foot care for seniors and people with diabetes * naturopath * Aboriginal wellness program  * mental health counselling * housing supports * income tax clinic * ID clinic * youth employment supports * <b>Harm Reduction Services </b>-- education * anonymous HIV testing by appointment * needle exchange * Hepatitis C program * one-to-one counselling, referrals and advocacy Monday to Friday 1:30 pm-3:30 pm * street outreach",2015-03-12
52,Hospital for Sick Children,(50) Non Profit ; (51) Registered Charity,416-813-5807,,www.sickkids.ca,"Main Fl, Atrium
555 University Ave
Toronto, ON     M5G 1X8","Bay Street Corridor, 76","Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator, lowered elevator buttons * underground parking off Elm St",Mon-Sun 24 hours,Children and youth birth-17 years who need medical care for serious illnesses and injuries,English ; interpreters available for other languages,No referral required,Hospital emergency department * entrance on Elizabeth St * ambulance entrance on Gerrard St W,2015-12-29
53,North York General Hospital,(50) Non Profit ; (51) Registered Charity,416-756-6001 ext 0,,www.nygh.on.ca,"4001 Leslie St
Toronto, ON     M2K 1E1","Bayview Village, 52",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,People who need medical care for serious illnesses and injuries,English ; Interpretive services,No referral required,Hospital emergency department * entrance at 4001 Leslie St,2015-10-06
54,Mount Sinai Hospital,(50) Non Profit,416-586-5054,,www.mountsinai.on.ca/schwartz-reisman-emergency,"600 University Ave
Toronto, ON     M5G 1X5","Kensington-Chinatown, 78",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Parking garage on Murray St,Mon-Sun 24 hours,People who need medical care for serious illnesses and injuries,English ; interpreters for many languages,No referral required,Emergency department * entrance accessible from southbound University Ave,2015-12-03
55,Humber River Hospital,(50) Non Profit ; (51) Registered Charity,416-744-2500,,www.hrh.ca,"2111 Finch Ave W
Toronto, ON     M3N 1N1","Glenfield-Jane Heights, 25",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Urgent care -- Mon-Sun 9 am-7 pm,,English ; telephone service provides access to interpreters for over 140 languages,No referral required,"<b>Urgent Care Centre </b>-- medical attention for non life threatening illnesses and injuries such as sore throat, cough, fever, earache, minor cuts and burns, skin infection, rash, limb sprains or strains<br><br>
<b>Ambulatory Care </b>-- outpatient care, including medical imaging",2015-10-16
56,Sunnybrook Health Sciences Centre,(50) Non Profit,416-480-4207 ext 0,,www.sunnybrook.ca,"2075 Bayview Ave
Toronto, ON     M4N 3M5","Bridle Path-Sunnybrook-York Mills, 41",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,People who need medical care for serious illnesses and injuries,English ; interpreters for many languages,No referral required,Emergency department * entrance at 2075 Bayview Ave * Regional Trauma Unit * no pediatric program,2013-12-20
57,Toronto East General Hospital,(50) Non Profit ; (51) Registered Charity,416-469-6435,,www.tegh.on.ca,"825 Coxwell Ave
Toronto, ON     M4C 3E7","Danforth Village-East York, 59",Wheelchair accessible building including main entrance and barrier free washrooms * designated and street parking close to entrance,Mon-Sun 24 hours,People who need medical care for serious illnesses and injuries,English ; Language Line service for other languages,No referral required,Hospital emergency department * entrance on Mortimer Ave east of Coxwell Ave * includes Pediatric Emergency affiliated with Hospital for Sick Children,2013-12-24
58,"University Health Network, Toronto General Hospital",(50) Non Profit ; (51) Registered Charity,416-340-3947,,www.uhn.ca,"200 Elizabeth St
Toronto, ON     M5G 2C4","Bay Street Corridor, 76",Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator * designated and street parking close to entrance,Mon-Sun 24 hours,People who need medical care for serious illnesses and injuries,English ; professional interpreters for physician-patient encounters * interpretation services 416-603-6400,No referral required,"Emergency department * entrance on Elizabeth St, north of Gerrard St W",2014-01-30
59,"University Health Network, Toronto Western Hospital",(50) Non Profit ; (51) Registered Charity,416-603-5190,,www.uhn.ca,"399 Bathurst St
Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,People who need medical care for serious illnesses and injuries,English ; professional interpreters for physician-patient encounters * interpretation services 416-603-6400,No referral required,Emergency department * entrance on Dundas St W at Bathurst,2014-02-03
60,William Osler Health Centre,(50) Non Profit ; (51) Registered Charity,416-747-3528 ext 1 * crisis intervention unit 416-747-3355,,www.williamoslerhc.on.ca,"101 Humber College Blvd
Toronto, ON     M9V 1R8","West Humber-Clairville, 1",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,People who need medical care for serious illnesses and injuries,English ; interpretive services,No referral required,Emergency department * entrance at 101 Humber College Blvd,2014-01-30
61,Rouge Valley Health System,(50) Non Profit ; (51) Registered Charity,416-281-7270,,www.rougevalley.ca,"2867 Ellesmere Rd
Toronto, ON     M1E 4B9","Morningside, 135",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,People who need medical care for serious illnesses and injuries,English ; staff/interpreters for other languages,No referral required,Emergency department * entrance on Neilson Rd south of Ellesmere Rd,2015-12-30
62,St Joseph's Health Centre,(50) Non Profit,416-530-6003,,www.stjoe.on.ca,"30 The Queensway, Barnicke Wing
Toronto, ON     M6R 1B5","High Park-Swansea, 87",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking on street and in parking garage,Mon-Sun 24 hours,People who need medical care for serious illnesses and injuries,English ; interpreter services for other languages,No referral required,Hospital emergency department * entrance off Glendale Ave just north of Queensway,2016-02-16
