,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
32,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH (Intake Assessment) 416-535-8501 ext 2,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 4th Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * evening groups available,"Lesbian, gay, bisexual, transgender, transsexual, and intersex individuals 18 years and older, who are interested in quitting, cutting down, or gaining more awareness about their use of drugs and/or alcohol * open to both local and out-of-town clients",English ; Access to trained interpreters available for French and other languages,No referral necessary but assessment required -- call Access CAMH * existing clients call 416-535-8501 ext 34430,"Assessment and referrals * confidential counselling * individual and group therapy * day and residential programs * weekly support groups -- single gender (lesbian and bisexual women only, or gay and bisexual men only) or co-ed * support for families and/or partners * couple counselling * relapse prevention * education including stress management, nutrition, recreation * concurrent disorder program including psychiatric consultation",2015-02-25
33,St Michael's Hospital,(50) Non Profit,Registered patients 416-864-3096 ; New patients intake 416-864-3076,,www.stmichaelshospital.com,"410 Sherbourne St, Ground Fl
Toronto, ON     M4X 1K2","Cabbagetown-South St James Town, 71",Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Wed, Fri 9 am-5 pm; Thu 9 am-8 pm, Sat 9 am-4 pm * doctor on call 24 hours",,English ; Interpretive services,By appointment,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,2015-09-24
34,St Michael's Hospital,(50) Non Profit,Registered patients 416-864-3011 ; New patients intake 416-864-3076,,www.stmichaelshospital.com,"80 Bond St
Toronto, ON     M5B 1X2","Church-Yonge Corridor, 75",Wheelchair accessible building including main entrance and barrier free washrooms,"Mon 8 am-8 pm, Tue-Fri 8 am-5 pm",,English ; Interpretive services,By appointment,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,2015-09-24
35,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Intake 416-535-8501 ext 33985,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 2nd Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Office -- Mon-Fri 8:30 am-4:30 pm,"Aboriginal individuals 16 years and older, who are experiencing homelessness, substance use and mental health issues",English ; Access to trained interpreters available for French and other languages,No referral required * call for information,"Assessment and referrals * individual, couple and family counselling * cultural consultation and support * talking circles and group work * inpatient and outpatient treatment programs * traditional and Western healing interventions * training, consultation and capacity building",2015-04-16
36,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH (Intake Assessment) 416-535-8501 ext 2,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 3rd Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,Women 18 years and older with moderate to severe alcohol and/or substance dependence and mild to moderate mental health challenges,English ; Access to trained interpreters available for French and other languages,No referral necessary but assessment required -- call Access CAMH,"Addiction and concurrent disorder treatment services * 3 phase program -- support and stabilization group, intensive programming and continuing care group",2015-04-20
37,Toronto Mental Health and Addictions Access Point,(50) Non Profit,416-640-1934,info@theaccesspoint.ca,theaccesspoint.ca,"661 Yonge St, 4th Fl
Toronto, ON     M4Y 1Z9","Church-Yonge Corridor, 75",Easy access to elevator ; Barrier-free washroom including door and stall ; Wheelchair accessible - call for details,Administration -- Mon-Fri 9 am-4:30 pm,"Individuals 14 years and older, who are experiencing serious, life-affecting mental health or concurrent mental health and addiction problems -- may vary by program, see service description for details * must live within the City of Toronto to receive services","English ; Interpretation may be available for other languages, varies by agency","Call, or visit website for information, intake procedures and list of participating agencies * visit website to apply online or download application form * application may be made from outside the City of Toronto but must live within City of Toronto to receive services","Coordinated intake for intensive case management, assertive community treatment teams, early psychosis intervention, and supportive housing * coordinated access to participating mental health and supportive housing agencies<br>
<br>
<b>Individual support services:</b><br>
<b>Intensive Case Management</b> -- one-on-one support for individuals with serious mental illness, who require individual case management support to live in the community * links to appropriate services<br>
<br>
<b>Assertive Community Treatment Teams (ACTT)</b> -- treatment, rehabilitation and support for individuals with severe mental health diagnosis, particularly psychosis, and with a history of hospitalization * multidisciplinary team<br>
<br>
<b>Supportive housing:</b><br>
<b>Mental Health Supportive Housing Program</b> -- links to supportive housing with various levels of support including shared or independent housing, for individuals with mental health or mental health and addiction issues * must qualify for housing subsidy<br>
<br>
<b>Problematic Substance Use Program</b> -- links to low support independent housing for individuals with severe substance use, who are homeless or under housed * must qualify for housing subsidy<br>
<br>
<b>Mental Health and Justice Program</b> -- links to low support independent housing for individuals with serious mental health challenges, who are homeless or at risk of homelessness, and who have current involvement with the Criminal Justice system at time of intake * referral by priority referral source such as justice system professionals * must qualify for housing subsidy",2015-08-25
38,Yonge Street Mission,(50) Non Profit ; (51) Registered Charity,416-929-9614 ext 2238,healthcentre@ysm.ca,www.ysm.ca,"381 Yonge St
Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75","Wheelchair accessible main entrance and ground floor, assistance needed with door ; Barrier-free washroom",Health Centre -- Mon-Fri 1 pm-4:30 pm * office -- Mon-Fri 9 am-5 pm,"Street involved and homeless youth only * 24 years and under (no minimum age) * also children, infants of street youth",English,"Walk in only, no appointments","Health services including primary medical care and dental care, check ups, lab tests, including HIV testing * birth control, pregnancy tests, immunization, prenatal care, perinatal services, prenatal and parenting classes * dental care * optometry, eye glasses * chiropractor * nutritionist * physiotherapist * psychiatrist * addictions counselling * traditional Chinese medicine * foot care, socks and shoes * health education * counselling on health issues * referrals * ID replacement * access to diapers, formula, baby food * no Ontario Health Insurance or identification required * child care available",2014-08-15
39,Society of St Vincent de Paul,(50) Non Profit ; (51) Registered Charity,416-762-4195,ozanam.svdptoronto@bellnet.ca,www.svdptoronto.org,"88 Mulock Ave
Toronto, ON     M6N 3C6","Junction Area, 90",Not Accessible,,Men 18 years and older,English,Referral from detoxification centres,11 bed pre-treatment and post-detoxification transition house * average stay 3 weeks,2015-01-08
40,St Michael's Hospital,(50) Non Profit,Registered patients 416-867-3728 ; New patients intake 416-864-3076,,www.stmichaelshospital.com,"410 Sherbourne St, 4th Fl
Toronto, ON     M4X 1K2","Cabbagetown-South St James Town, 71",Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Tue, Thu-Fri 9 am-4 pm; Wed 9 am-8 pm; Sat 9 am-3 pm * doctor on call 24 hours",,English ; Interpretive services,By appointment,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,2015-09-24
41,"University Health Network, Toronto Western Hospital",(50) Non Profit ; (51) Registered Charity,,,www.uhn.ca,"892 Dundas St W
Toronto, ON     M6J 1W1","Trinity-Bellwoods, 81",Partially wheelchair accessible * street parking close to entrance,Residential program Mon-Sun 24 hours,Women 16 years and older * under 16 years with parental consent,English ; staff may speak other languages,Call Central Access 1-866-366-9513,"Alcohol and drug detoxification * residential, day and community withdrawal management * case management * assessment and referral<br><br>

Continuing Care Group -- Friday 5 pm-7 pm<br><br>

Day program -- Monday-Friday 10 am-3 pm at Adelaide Resource Centre for Women, 67 Adelaide St E, 416-392-9281",2014-09-29
42,Cocaine Anonymous,(50) Non Profit,Information line only 416-927-7858,questions@ca-on.org,www.ca-on.org,,,Some locations wheelchair accessible - see website,"Voice mail * calls returned within 3 hours, Mon-Sun 9 am-11 pm",Anyone with a drug or alcohol problem and the desire to stop using,English,,"12 step recovery * daily meetings * call for locations and times, or visit
<a href=""http://ca-on.org/meetings/local-meetings"">ca-on.org/meetings/local-meetings</a> * also online meetings",2015-11-26
43,Warden Woods Community Centre,(50) Non Profit ; (51) Registered Charity,416-694-1138 ext 138,,www.wardenwoods.com,"63 Mack Ave
Toronto, ON     M1L 1M5","Oakridge, 121",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * some evening programs,"Seniors, adults with disabilities, and caregivers * HIV/AIDS Education and IDU Outreach -- youth and newcomers",English,Call for information,"<b>Caregiver Support</b> -- call Melese Woldemariam ext 156 * for anyone providing ongoing care to an aging family member, friend, spouse or neighbour * support and education * links to community resources * advocacy * individual and group counselling <br><br> 

<b>Client Intervention and Assistance</b> -- call Colleen Phillips ext 136 * for adults 55 years and older, adults 18 years and older with physical disabilities * community case management for persons considered to be at risk in their homes * intake and psychosocial assessments * information and referral * crisis intervention * counselling * service coordination * ongoing monitoring<br><br> 

<b>Elderly Persons Centre</b> -- call Celia McDougall ext 129 * recreation programs including Wednesday Friendship Club, Friday Folk for developmentally delayed adults, IRIE group (Intergenerational Health Information and Education) for West Indian senior women * trips * ceramics * health programs include foot care, blood pressure and hearing clinics, touch therapy, Tai Chi * <b>Adult Day Service</b> -- Monday-Tuesday, Thursday 9 am-4 pm * integrated program for frail adults and persons with Alzheimer Disease and related dementia * recreation in small group setting * meals and snacks * transportation available<br><br>

<b>HIV/AIDS Education and IDU Outreach</b> -- call Solomon Barney ext 143 * prevention and education workshops or one-on-one outreach * harm reduction outreach, support, education and counselling to reduce HIV transmission among intravenous drug users<br><br>

<b>Home Support Services</b> -- call Andrea Watson ext 138 * congregate dining * grocery shopping * home help including light housekeeping and meal preparation * snow removal * security checks * medication reminders<br><br>

<b>Meals on Wheels</b> -- call Asha Raghavan ext 139, Monday- Friday 11:30 am-12:30 pm * hot meals delivered to seniors, disabled persons, persons with illness and persons recovering from medical procedures * includes hot, frozen, South Asian and Chinese meals * Good Food Box distribution -- see separate entry Food Share<br><br>

<b>Transportation</b> -- call Simone ext 134, Monday-Friday 8 am-5 pm * rides to medical and other appointments, shopping, Adult Day Service,  Warden Woods Community Centre",2015-02-26
44,St Michael's Hospital,(50) Non Profit,Registered patients North Team 416-867-7426 ; Registered patients South Team 416-867-7428 ; New patients intake 416-864-3076,,www.stmichaelshospital.com,"St Michael's Health Centre
61 Queen St E, 3rd Fl
Toronto, ON     M5C 2T2","Church-Yonge Corridor, 75",Wheelchair accessible building including main entrance and barrier free washrooms,Mon-Fri 8:30 am-4:30 pm * doctor on call 24 hours,,English ; Interpretive services,By appointment,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,2015-09-24
45,Society of St Vincent de Paul,(50) Non Profit ; (51) Registered Charity,416-364-5577 ext 225,kim.vphomes@ssvptoronto.ca,www.svdptoronto.org,"240 Church St
Toronto, ON     M5B 1Z2","Church-Yonge Corridor, 75",Not Accessible,,Men and women recovering from alcohol or drug addiction,English,Usually by referral from a treatment facility,13 supportive community homes * total capacity 83,2015-01-08
46,Canadian Centre for Women's Education and Development,(50) Non Profit ; (51) Registered Charity,416-285-6881,ccfw@bellnet.ca,,"2296 Eglinton Ave E, Unit 4
Toronto, ON     M1K 2M2","Ionview, 125",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Elevator with lowered control panel ; Designated parking,Mon-Fri 9 am-5 pm,"Low income women (including senior women), children and youth * focus on immigrant women and children",English ; Arabic ; Gujarati ; Hindi ; Punjabi ; Tamil ; Urdu,,"Case management * counselling for abused women and children * court accompaniment * support for young women with addictions * drop-in for newcomers (youth, women, seniors) * educational workshops * family and individual counselling * form filling including applications for subsidized housing * information and referral * mentoring for young women * outreach including young women and women with disabilities * seniors activities * youth programs * volunteer opportunities",2015-01-19
47,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH (Intake Assessment) 416-535-8501 ext 2,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 4th Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,Individuals 18 years and older with alcohol and drug addiction problems,English ; Access to trained interpreters available for French and other languages,No referral necessary but assessment required -- call Access CAMH * existing clients call 416-535-8501 ext 34430,"Addiction assessment and treatment including day and residential programs * psychoeducation and relapse prevention<br> <br> 

<b>Brief Treatment Service</b> -- group or individual intervention to help people abstain or moderate their substance use to non-harmful levels * relapse prevention * nutritional counselling * stress management training * consultation</b><br><br>

<b>Family Service</b> -- treatment and support for anyone concerned with the substance use of someone else, who may or may not be in treatment at CAMH * individual and group formats * education and consultation * family and couple counselling available to CAMH clients and their families",2015-04-16
48,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH (Intake Assessment) 416-535-8501 ext 2 ; Inquiries 416-535-8501 ext 36019,,www.camh.ca,"Bell Gateway Building
100 Stokes St, 3rd Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 8 am-4 pm,,English ; Access to trained interpreters available for French and other languages,No referral necessary but assessment required -- call Access CAMH,"Pharmacotherapy for substance dependence including alcohol, opioid and benzodiazepines * medical assessment * maintenance therapies (methadone and buprenorphine) * concomitant pain and addiction treatment * alcohol use relapse prevention medications * counselling and group therapy * urine drug testing * resource room -- food and housing support, employment support and skills groups * education and training for health professionals and students<br> <br> 

<b>Medical Ambulatory Withdrawal Management</b> -- outpatient alcohol and drug detoxification for individuals 18 years and older * also referrals for those requiring inpatient detoxification",2015-04-20
49,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,Access CAMH (Intake Assessment) 416-535-8501 ext 2,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 3rd Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,Individuals age 18 and older who primarily use cocaine,English ; Access to trained interpreters available for French and other languages,No referral necessary but assessment required -- call Access CAMH,"Outpatient treatment and aftercare * preparatory, day treatment and continuing care support includes goal planning, relapse prevention and psycho-education group sessions * community integration support includes weekly group counselling for one year post treatment * holistic, harm reduction approach<br><br> 

Provides treatment services to <b>Toronto Drug Treatment Court (DTC)</b> at 100 Stokes St, 3rd Fl -- see separate entry",2015-02-26
50,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,416-535-8501 ext 36071,,www.camh.ca,"The Carlos Fidani Family Building
60 White Squirrel Way, 3rd Fl
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Admission -- Mon-Fri 8 am-12 noon * no admissions on weekends or public holidays * withdrawal services -- Mon-Sun 24 hours,"Persons requiring inpatient setting and medical support to manage withdrawal symptoms * focus on patients with severe withdrawal symptoms, including seizures and hallucinations",English ; Access to trained interpreters available for French and other languages,Call for information * no referral necessary * telephone assessment/screening required prior to admission,Inpatient alcohol and substance withdrawal management,2015-02-25
51,Centre for Addiction and Mental Health,(50) Non Profit ; (51) Registered Charity,416-535-8501 ext 4366,,www.camh.ca,"Intergenerational Wellness Centre
80 Workman Way
Toronto, ON     M6J 1H4","Niagara, 82",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm * individual program hours may vary,"Most programs -- children and youth up to 17 years, with emotional, behavioural, psychological or psychiatric problems, and their families * specific eligibility for some programs -- call for details",English ; Access to trained interpreters available for French and other languages,"Referral required for most programs -- call for details * Child, Youth and Family Referral Form available online * Gender Identity Services not accepting new referrals as current clinic is closing","Assessments, treatment and referrals * treatment recommendations and consultation, including services for those involved with Youth Criminal Justice Act * outreach, prevention and education<br>
<br>
<b>Better Behaviours Service (BBS)</b> -- assessment and treatment for children with behaviour problems, including aggression, social skills difficulties, diminished academic performance and non-compliance * must not have developmental delay, serious medical illness or psychotic disorder * parent programs * individual, group and day treatment programs -- call for eligibility and referral details<br>
<br>
<b>Mood and Anxiety Disorders Service</b> -- assessment, treatment recommendations and short-term treatment * referral required<br>
<br> 
<b>Psychotic Disorders</b> -- assessment and consultation for children and youth with a referral diagnosis of a psychotic disorder or symptoms of psychosis * referral required<br>
<br>
<b>Substance Abuse Program for African Canadian and Caribbean Youth (SAPACCY)</b> -- early intervention and prevention services for Black youth, including individual and group counselling and family support * no referral required<br>
<br>
<b>Toronto Arson Prevention Program for Children (TAPP-C), www.tapp-c.com</b> -- assessment and intervention for children and youth to reduce intentional fire setting or match/lighter play * programs for parents/caregivers * referral required<br>
<br>
<b>Youth Addiction and Concurrent Disorders Service</b> -- assessment and treatment for youth and young adults with substance use challenges, with or without concurrent mental health concerns, and their families * harm reduction and individualized approach * individual and group counselling * case management",2013-02-06
52,Toronto. Hostel Services,(20) Regional Government,Shift Leader 416-392-5452 ; Intake 416-392-5447,,www.toronto.ca/housing/index.htm,"1651 Sheppard Ave W
Toronto, ON     M3M 2X4","Glenfield-Jane Heights, 25",Not Accessible,Mon-Sun 24 hours,Men 18 years and older with a history of using the hostel system,"English ; French ; Intake -- English, French * other languages may be available",Primarily by referral through Seaton House * some referrals through detoxification centres,"Substance abuse recovery program, up to 6 months stay * case management * out patient component * community follow up * aftercare * recreation programs * capacity 30",2016-01-05
53,St Joseph's Health Centre,(50) Non Profit,,,www.stjoe.on.ca,"30 The Queensway
Toronto, ON     M6R 1B5","High Park-Swansea, 87",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking on street and in parking garage,Mon-Sun 24 hours,Men and women 16 years and older,English,Residential program -- call 1-866-366-9513 Central Access * day and community programs -- self referral or call Central Access,"Non-medical day, community and residential alcohol and drug withdrawal management * capacity 26 * 10 crisis beds (3 female, 7 male), 16 program beds (4 female, 12 male) * no smoking * continuing care * family program * assessment and referral * counselling * life skills coaching * smoking cessation program * acupuncture",2016-02-16
54,Debtors Anonymous,(50) Non Profit,289-805-3286,toronto@debtorsanonymous.ca,www.debtorsanonymous.ca,,,Not Applicable - office ; Call for details on meeting locations or visit website,Voice mail,Compulsive debtors * must have desire to stop incurring unsecured debt,English,Call or consult website for meeting locations,12 step recovery groups,2015-05-07
55,JACS Toronto,(50) Non Profit ; (51) Registered Charity,Office 416-638-0350,info@jacstoronto.org,www.jacstoronto.org,"858 Sheppard Ave W
Toronto, ON     M3H 2T5","Bathurst Manor, 34",Wheelchair accessible - call for details,"Office -- Mon-Thu 9 am-5 pm, Fri 9 am-4 pm * winter -- same except Fri 9 am-2 pm","Individuals with addictions and their families, friends and associates in the Jewish community",English ; Hebrew ; Yiddish,"Call, email or visit website","Individual, couple and family counselling for substance abuse issues * resource centre -- addiction education, awareness * confidential telephone information * counselling for teens in crisis * mutual help -- daily 12 step meetings * treatment referrals * recovery retreats * information meetings Thursday 7:30 pm * outreach to schools, camps, youth groups",2014-11-06
56,High Park Chiropractic and Integrated Health,,416-762-7591,highparkhealingarts@gmail.com,www.highparkhealth.com,"2100 Bloor St W, Ste 10
Toronto, ON     M6S 1M7",,,Mon-Fri 8am-6:30pm * Sat 8am-1pm,No restrictions,English,Call or visit,"Community clinic which offers&nbsp;acupuncture, custom foot orthotics, detoxification, family chiropractic, homeopathy, registered massage therapy, naturopathic medicine, nutrition, sports injury management and psychological assessment and psychotherapy",2015-11-09
57,"Yellow Brick Road Holistic Center, Your Path to Total Health",,416-926-1101,info@yellowbrickroad-healthyliving.com,www.yellowbrickroad-healthyliving.com,"258 Dupont St
Toronto, ON     M5R 1V7",,,Reception hours: Mon-Fri 12noon-5pm,No restrictions,English,Call or visit,Holistic health services * specializes in Colonic hydrotherapy and detoxification,2015-07-22
58,Food Addicts in Recovery Anonymous - Toronto - Spadina Ave,(50) Non Profit,416-570-0796<BR>416-857-7559,fa@foodaddicts.org,www.foodaddicts.org,"750 Spadina Ave, Room 301
Toronto, ON     M5S 2J2",,Fully Accessible,Thu 7pm,People 16 years and older * person younger than 16 years must be accompanied by an adult,English,Attend meeting or call for information.,12 step recovery group for&nbsp;people with addictive eating,2015-12-16
59,Ontario Addiction Treatment Centre - Bloor West Clinic,,647-748-6282,info@oatc.ca,www.oatc.ca,"799 Bloor St W
Toronto, ON     M6G 1L8",,Fully Accessible,"Mon 1:30pm-6pm * Tue, Wed 9am-4pm * Fri 9am-3pm",No restrictions,English,Self referral - telephone,Outpatient drug addiction treatment centre * methadone and suboxone treatment&nbsp;program * addiction counseling * medical follow-up * post treatment support,2015-04-29
60,Ontario Addiction Treatment Centre - Danforth,,647-748-8770,info@oatc.ca,www.oatc.ca,"1154 Danforth Ave
Toronto, ON     M4J 1M3",,Fully Accessible,Mon-Fri 8:30am-6pm (Closed 12:30pm-2pm),No restrictions,English,Call or visit,"<a name=""_MailEndCompose"">Outpatient
drug addiction treatment centre * methadone and suboxone treatment program *
addiction counseling * medical follow-up * post treatment support</a><br>",2015-05-12
