PublicName / Nom public,AgencyDescription / Descriptiondelorganisme,PhysicalAddress1 / Adressemunicipale1,PhysicalAddress2 / Adressemunicipale2,UpdatedOn / Misàjourle,LanguageOfRecord / Languedudossier,PhysicalCity / Villephysique,PhysicalStateProvince / Étatprovincephysique,PhysicalPostalCode / Codepostal,Latitude / Latitude,Longitude / Longitude,PhoneNumberBusinessLine / Numérodetéléphonedaffaires,PhoneTollFree / Téléphonesansfrais,PhoneTTY / TéléphoneATS,PhoneFax / Télécopieur,WebsiteAddress / Adressedusite Web,Hours / Heures,DisabilitiesAccess/ Accèspourhandicapés,FeeStructureSource / Sourcedeléchelledestarifs,ApplicationProcess / Processusdedemande,Eligibility / Admissibilité,LanguagesOfferedList / Listedeslanguesoffertes,Coverage / Portée
Algonquins of Pikwakanagan First Nation - Child and Youth Mental Health Project,"Offers counseling and therapeutic services to Aboriginal children, youth, and their families related to parenting, behavours, mental health, and addictions issues. Advocates and supports children and youth in the school, community, and home settings. * Able to provide services in the office, homes, schools, community, and others depending on clients needs. *",1643 Mishomis Inamo,PO Box 86,Dec  5 2014  7:02:04,English,Golden Lake,ON,K0J 1X0,45.5758354,-77.2514924,613-625-2259,,,613-625-2207,http://www.algonquinsofpikwakanagan.com/health.php,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  The program provides a flexible schedule which if needed by appointment could provide services in the evenings or weekends.,Not applicable,Free,Self Referral No Documentation Required,Aboriginal children and youth ages 0-18 and their families.,English,"RenfrewGolden Lake, Renfrew, 110 km radius from and around Pikwakanagan."
Algonquins of Pikwakanagan First Nation - Child and Youth Mental Health Project,"Offre des services de counselling aux jeunes Autochtones et leurs familles qui éprouvent des problèmes de santé mentale, de dépendance et de comportement. Offre des services de soutien au jeunes à l'école, dans la communauté et à la maison. * Capable de fournir des services dans le bureau, les maisons, les écoles, la communauté, et autres selon les besoins des clients.",1643 Mishomis Inamo,Case postale 86,Dec  5 2014  7:02:04,French,Golden Lake,ON,K0J 1X0,45.5758354,-77.2514924,613-625-2259,,,613-625-2207,http://www.algonquinsofpikwakanagan.com/health.php,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *  Horaire flexible. Rendez-vous en soirée et en fin de semaine peuvent être organisés au besoin.,Pas applicable,Gratuit,Accès sans recommandation Aucuns documents requis,Enfants et jeunes Autochtones de 18 ans et moins et leurs familles.,anglais,"RenfrewGolden Lake, Renfrew, 110 km de rayon à partir et autour de Pikwakanagan"
Algoma Family Services - Brief Services,Offers individual counselling sessions and mental halth assessments to assist clients.,205 Mcnabb Street,,Jun 10 2015  2:32:00,English,Sault Ste Marie,ON,P6B 1Y3,46.5215222,-84.3178363,705-945-5050,1-800-461-2237,,,http://www.algomafamilyservices.org/index.php,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Not applicable,Free,Assessment Required Documents not specified - inquire for more information,Algoma Family Services clients and/or their families.,English,Algoma
Algoma Family Services - Brief Services,Offres des services de counselling et des évaluations pour les clients.,205 rue Mcnabb,,Jun 10 2015  2:32:00,French,Sault Ste Marie,ON,P6B 1Y3,46.5215222,-84.3178363,705-945-5050,1-800-461-2237,,,http://www.algomafamilyservices.org/index.php,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Pas applicable,Gratuit,Évaluation requise Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Les clients de les services aux familles d'Algoma et leurs familles.,anglais,Algoma
Algoma Family Services - Therapeutic Group Programs,Offers counselling on depression in teenage girls and assistance with separation and divorce for children and their parents.,205 Mcnabb Street,,Jun 10 2015  2:27:12,English,Sault Ste Marie,ON,P6B 1Y3,46.5215222,-84.3178363,705-945-5050,1-800-461-2237,,,http://www.algomafamilyservices.org/index.php,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  Contact for hours,Not applicable,Free,Self Referral Documents not specified - inquire for more information,Teenage Girls,English,Algoma
Algoma Family Services - Therapeutic Group Programs,Offre des services de counselling sur la dépression chez les filles adolescentes et aussi aide à la séparation et le divorce pour les enfants et leurs parents.,205 rue Mcnabb,,Jun 10 2015  2:27:12,French,Sault Ste Marie,ON,P6B 1Y3,46.5215222,-84.3178363,705-945-5050,1-800-461-2237,,,http://www.algomafamilyservices.org/index.php,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Pas applicable,Gratuit,Accès sans recommandation Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Les filles adolescents.,anglais,Algoma
Alpha Court - Youth in Transition,Offers case management services to youth who have a confirmed diagnosis of mental illness or are displaying symptoms of mental illness. Services are designed to connect youth to needed psychiatric services and to promote the skills necessary for youth to live independently in the community while coping with mental illness.,221 Wilson Street,,Jun 19 2014  3:44:00,English,Thunder Bay,ON,P7B 1M7,48.4321724,-89.2231141,807-683-7729,,,807-683-8225,www.alphacourt.ca,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Wheelchair accessible,Free,Registration required No Documentation Required,Youth 16 -24 years living in the Thunder Bay Region,"English, French","Thunder BayThunder Bay, Thunder Bay"
Alpha Court - Youth in Transition,Offre des services de gestion de cas aux jeunes qui ont été diagnostiqué avec une condition de santé mentale ou qui ont montré des symptômes de la maladie mentale.  Des services sont conçu pour connecter les jeunes à des services psychiatriques et pour promouvoir les compétences nécessaires pour les jeunes à vivre de façon autonome dans la communauté avec une maladie mentale.,221 rue Wilson,,Jun 19 2014  3:44:00,French,Thunder Bay,ON,P7B 1M7,48.4321724,-89.2231141,807-683-7729,,,807-683-8225,www.alphacourt.ca,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Entièrement accessible,Gratuit,Inscription requise Aucuns documents requis,Jeunes de 16-24 ans dans ls region de Thunder Bay.,"anglais, français","Thunder BayThunder Bay, Thunder Bay"
Blake Boultbee Youth Outreach Service - Counselling,"Offers individual and family counselling, as well as other services to youth.",41 Blake Street,,Jun 19 2014  5:40:00,English,Toronto,ON,M4J 3E2,43.6727901,-79.3383086,416-465-1410,,,416-465-9619,http://www.bbyos.org/index.htm,Mon 8am-6pm * Tue 8am-6pm * Wed 8am-6pm * Thu 8am-6pm * Fri 8am-6pm *,Not applicable,Free,Self Referral No Documentation Required,Children and youth 12-25 years and their families,English,"TorontoToronto, Toronto"
Blake Boultbee Youth Outreach Service - Counselling,Offre des services de counselling individuel et en familles; offre aussi des autres services pour les jeunes en général.,41 rue Blake,,Jun 19 2014  5:40:00,French,Toronto,ON,M4J 3E2,43.6727901,-79.3383086,416-465-1410,,,416-465-9619,http://www.bbyos.org/index.htm,Lun 8h-18h * Mar 8h-18h * Mer 8h-18h * Jeu 8h-18h * Ven 8h-18h *,Non accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Enfants et jeunes de 12-25 ans et leurs familles.,anglais,"TorontoToronto, Toronto"
Anne Johnston Health Station - Mental Health Counselling,"Offers counselling services for young people who are experiencing mental health concerns, such as depression and anxiety.",2398 Yonge Street,,Oct 21 2014  2:02:00,English,Toronto,ON,M4P 2H4,43.7097207,-79.3991968,416-486-8666,,,416-486-8660,http://www.ajhs.ca,Mon 8:30am-5am * Tue 8:30am-5am * Wed 8:30am-7am * Thu 8:30am-5am * Fri 8:30am-5am * Sat 8:30am-4am *,Wheelchair accessible,Free,Application Process unknown - please inquire for more information Documents not specified - inquire for more information,Young people ages 13-26 in Toronto.,"English, Arabic, Portuguese, Turkish","TorontoToronto, Toronto"
Anne Johnston Health Station - Mental Health Counselling,"Offre des services de counselling aux jeunes qui éprouvent des problèmes de santé mentale, comme la dépression et l'anxiété",2398 rue Yonge,,Oct 21 2014  2:02:00,French,Toronto,ON,M4P 2H4,43.7097207,-79.3991968,416-486-8666,,,416-486-8660,http://www.ajhs.ca,Lun 8h30-5amh * Mar 8h30-5amh * Mer 8h30-7amh * Jeu 8h30-5amh * Ven 8h30-5amh * Sam 8h30-4amh *,Entièrement accessible,Gratuit,Processus d’application inconnu – se renseigner pour plus d’information Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Jeunes de 13-26 ans en Toronto,"anglais, arabe, portugais, turc","TorontoToronto, Toronto"
Catholic Family Development Centre - Counselling,Offers counselling for individuals and families for a variety of mental and non-mental health issues.,380 Dufferin Street,,Jun  9 2014  2:40:00,English,Thunder Bay,ON,P7B 1N6,48.4355678,-89.2314831,807-345-7323,,,807-345-5141,http://catholicfamilycentre.ca/site/,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Not applicable,Sliding Scale,Appointment Required Documents not specified - inquire for more information,Residents of the Thunder Bay region.,English,"Thunder Bay, Thunder Bay"
Catholic Family Development Centre - Counselling,Offre des services de counselling aux individus et familles sur une variété d'inquiétudes de santé mentale et de santé générale.,380 rue Dufferin,,Jun  9 2014  2:40:00,French,Thunder Bay,ON,P7B 1N6,48.4355678,-89.2314831,807-345-7323,,,807-345-5141,http://catholicfamilycentre.ca/site/,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Pas applicable,Échelle Mobile,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Résidents de la region de Thunder Bay.,anglais,"Thunder Bay, Thunder Bay"
Carizon Family and Community Services  - Children's Counselling,"Offers counselling for young children, which involves some form of play therapy, as well as other methods of counselling.",400 Queen Street South,,Jun 16 2015  5:49:00,English,Kitchener,ON,N2G 1W7,43.4456741,-80.4939024,519-743-6333,,,,http://www.carizon.ca/counselling/childrens-counselling/,Mon 8am-9pm * Tue 8am-9pm * Wed 8am-9pm * Thu 8am-9pm * Fri 8am-5pm * Sat 8am-4pm *,Wheelchair accessible,Free,Appointment Required No Documentation Required,"Children ages 3 and a half and older. Children as young 2 can be seen, most often in response to trauma or at the request of their doctor.",English,"Kitchener, WaterlooCambridge, WaterlooWaterloo, WaterlooCambridge, Wellington"
Carizon Family and Community Services  - Children's Counselling,Offre des services de counseling et de thérapie par le jeu aux enfants qui éprouvent des problèmes de santé mentale.,400 rue Queen Sud,,Jun 16 2015  5:49:00,French,Kitchener,ON,N2G 1W7,43.4456741,-80.4939024,519-743-6333,,,,http://www.carizon.ca/counselling/childrens-counselling/,Lun 8h-21h * Mar 8h-21h * Mer 8h-21h * Jeu 8h-21h * Ven 8h-17h * Sam 8h-16h *,Entièrement accessible,Gratuit,Rendez-vous requis Aucuns documents requis,Enfants de 3.5 et plus. Junes de 2-3 aussi mais seulement en réponse à un traumatisme ou à la demande de leur médecin.,anglais,"Kitchener, WaterlooCambridge, WaterlooWaterloo, WaterlooCambridge, Wellington"
Carizon Family and Community Services  - Counselling for Children and Teens,Offers counselling to children and youth for a variety of mental and non-mental health issues.,400 Queen Street South,,Jun 16 2015  5:50:00,English,Kitchener,ON,N2G 1W7,43.4456741,-80.4939024,519-743-6333,,,,http://www.carizon.ca/counselling/individual-couple-family/,Mon 8am-9pm * Tue 8am-9pm * Wed 8am-9pm * Thu 8am-9pm * Fri 8am-5pm * Sat 8am-4pm *,Wheelchair accessible,Free,Appointment Required No Documentation Required,Residents of Waterloo region.,English,"Kitchener, WaterlooCambridge, WaterlooWaterloo, WaterlooCambridge, Wellington"
Carizon Family and Community Services  - Counselling for Children and Teens,Offre des services de counselling aux enfants et jeunes qui éprouvent des problèmes de santé mentale et des autres problèmes aussi.,400 rue Queen Sud,,Jun 16 2015  5:50:00,French,Kitchener,ON,N2G 1W7,43.4456741,-80.4939024,519-743-6333,,,,http://www.carizon.ca/counselling/individual-couple-family/,Lun 8h-21h * Mar 8h-21h * Mer 8h-21h * Jeu 8h-21h * Ven 8h-17h * Sam 8h-16h *,Entièrement accessible,Gratuit,Rendez-vous requis Aucuns documents requis,Résidents dans la région de Waterloo.,anglais,"Kitchener, WaterlooCambridge, WaterlooWaterloo, WaterlooCambridge, Wellington"
Carlington Community Health Centre - Counselling Services,"Offers services to individuals, couples, families and groups, including crisis counselling and support.",900 Merivale Road,,Feb  9 2016  2:48:36,English,Ottawa,ON,K1Z 5Z8,45.3838489,-75.7326533,613-722-4000,,613-761-7633,613-761-1805,http://www.carlington.ochc.org,Mon 8:30am-4:30pm * Tue 8:30am-8pm * Wed 8:30am-8pm * Thu 8:30am-8pm * Fri 8:30am-4:30pm *,Wheelchair Accessible,Free,Appointment Required Health Card,"Individuals, couples, families and groups, including youth and their families.","English, French","The Ottawa River to the North; Baseline Road to the South; Island Park Drive/Fisher Avenue to the East; and Sherbourne/Maitland/Woodroffe Avenues to the West.  Also serves the Rideauview community located between Fisher Avenue, Baseline Road and the Rideau River."
Centre de santé communautaire Carlington - Services de counseling,"Offre des services aux individus, couples, familles et groupes, incluant du soutien et de l'intervention de crise.","900, chemin Merivale",,Feb  9 2016  2:48:36,French,Ottawa,ON,K1Z 5Z8,45.3838489,-75.7326533,613-722-4000,,613-761-7633,613-761-1805,http://www.carlington.ochc.org,Lun 8h30-16h30 * Mar 8h30-20h * Mer 8h30-20h * Jeu 8h30-20h * Ven 8h30-16h30 *,Entièrement accessible,Gratuit,Rendez-vous requis Carte santé,"Individus, couples, familles et groupes, incluant les jeunes et leurs familles.","anglais, français",
Catulpa Community Support Services -Intensive Service Coordination Services,"Offers information, consultation, and community case conferencing for children/youth and their families who have complex needs requiring special attention and creative service planning",165 Ferris Lane,,Mar 17 2016  5:21:57,English,Barrie,ON,L4M 2Y1,44.4091957,-79.6890453,705-733-3227 ext 2294,,,705-735-6826,http://www.catulpa.on.ca/s/programs/CCC.aspx,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Not applicable,Free,Parental/Guardian Referral Required Health Card,Children and youth 19 and younger and their families in Simcoe County.,"English, French","SimcoeBarrie, Simcoe"
Catulpa Community Support Services - Children's Case Coordination Services,"Offre des services d'information, de consultation et de conférence de cas pour les enfants, jeunes et leurs familles.  Le programme s'applique aux enfants et aux jeunes qui éprouvent des problèmes comportementaux, développementaux, émotionnels et physiques complexes.","165, allée Ferris",,Mar 17 2016  5:21:57,French,Barrie,ON,L4M 2Y1,44.4091957,-79.6890453,705-733-3227 ext 2294,,,705-735-6826,http://www.catulpa.on.ca/s/programs/CCC.aspx,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Pas applicable,Free,Recommandation d'un parent/tuteur requise Carte santé,Enfants et jeunes de 19 ans et moins et leurs familles qui habitent la région de Simcoe.,"anglais, français","SimcoeBarrie, Simcoe"
Can-Am Indian Friendship Centre - Aboriginal Child and Youth Mental Health and Addictions Program,"Offers individual and group counselling to children, youth and their families who are struggling with mental health issues and addictions.",2929 Howard Avenue,,Dec  8 2014  3:34:47,English,Windsor,ON,N8X 4W4,42.2785181,-83.0081228,,,,,,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Not applicable,Cost unknown - inquire for more information,Application Process unknown - please inquire for more information Documents not specified - inquire for more information,"Aboriginal children and youths ages 0-18, including their families, in Windsor-Essex County.",English,"EssexWindsor, Essex"
Can-Am Indian Friendship Centre - Aboriginal Child & Youth Mental Health and Addictions Program,"Offre des services de counselling, indviduel et en groupes, aux enfants, jeunes et leur familles qui éprouvent des difficultés de santé mentale et de dépendances.",2929 avenue Howard,,Dec  8 2014  3:34:47,French,Windsor,ON,N8X 4W4,42.2785181,-83.0081228,,,,,,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Pas applicable,Coût inconnu – se renseigner pour plus d’information,Processus d’application inconnu – se renseigner pour plus d’information Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Jeunes Autochtones de 18 ans et moins et leurs familles dans la region de Windsor-Essex,anglais,"EssexWindsor, Essex"
Blue Hills Child and Family Centre - Children's Mental Health Services,"Offers counselling and referral services to children, youth and their families in a focused short-term manner. Also  offers a 6-12 month residential treatment program for children dealing with serious mental health and behavioral problems.",402 Bloomington Road,,Jan  4 2016  2:28:00,English,Aurora,ON,L4G 1L9,43.9648477,-79.4497839,905-773-4323,1-866-536-7608,,905-773-8133,http://www.bluehillscentre.ca,Mon 8:30am-4:30am * Tue 8:30am-6am * Wed 8:30am-4:30am * Thu 8:30am-4:30am * Fri 8:30am-4am *,Wheelchair accessible,Free,Self Referral No Documentation Required,Children and youth 18 years and younger and families. Residential program is offered to children ages 7-13 in York region.,"English, French, Gujarati, Hindi","YorkAurora, York"
Blue Hills Child and Family Centre - Children's Mental Health Services,"Offre des services de counselling et de référence pour les enfants, les jeunes et leurs familles de façon intensive et à court terme.  Offre aussi un programme de traitement résidentiel de 6-12 mois aux enfants qui éprouvent des problèmes de santé mentale et de comportement graves.",402 chemin Bloomington,,Jan  4 2016  2:28:00,French,Aurora,ON,L4G 1L9,43.9648477,-79.4497839,905-773-4323,1-866-536-7608,,905-773-4323,http://www.bluehillscentre.ca,Lun 8h30-4h30am * Mar 8h30-6amh * Mer 8h30-4h30am * Jeu 8h30-4h30am * Ven 8h30-4amh *,Entièrement accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Enfants et jeunes de 18 et moins et leurs families. Le programme de traitement résidentiel est pour les enfants de 7-13 ans dans la région de York.,"anglais, français, gujarati, hindi","YorkAurora, York"
Catholic Family Service Ottawa - Counselling,"Offers counselling and support for a variety of mental health issues to couples, families, and groups.",310 Olmstead Street,,Feb  9 2016  2:49:25,English,Vanier,ON,K1L 7K3,45.4340617,-75.6616938,613-233-8478,,613-233-1866,613-233-9881,http://www.cfsottawa.ca/,Mon 9am-8pm * Tue 9am-8pm * Wed 9am-8pm * Thu 9am-8pm * Fri 9am-5pm *,Not applicable,Sliding Scale,Appointment Required No Documentation Required,Residents of the greater Ottawa area.,"English, French, Farsi","OttawaOttawa, Ottawa"
Service familial catholique d'Ottawa - Counseling,"Offre des services de counselling aux couples, familles et groupes ayant des inquiétudes de santé mentale.",310 rue Olmstead,,Feb  9 2016  2:49:25,French,Vanier,ON,K1L 7K3,45.4340617,-75.6616938,613-233-8478,,613-233-1866,613-233-9881,http://www.cfsottawa.ca/en/,Lun 9h-20h * Mar 9h-20h * Mer 9h-20h * Jeu 9h-20h * Ven 9h-17h *,Pas applicable,Échelle Mobile,Rendez-vous requis Aucuns documents requis,Résidents de la region de grand Ottawa.,"anglais, français, farsi","OttawaOttawa, Ottawa"
Catholic Family Service Ottawa - The Walk-in Counselling Clinic Ottawa,Offers walk in mental health counselling.,310 Olmstead Street,,Jul 17 2014  1:25:00,English,Vanier,ON,K1L 7K3,45.4340617,-75.6616938,613-233-8478,,,,http://www.cfsottawa.ca/en/,Thu 12pm-8pm * Fri 12pm-5pm *  Last sessions an hour and half before closing.,Not applicable,Free,Drop In No Documentation Required,Resident of the greater Ottawa region.,English,"OttawaOttawa, Ottawa"
Catholic Family Service Ottawa - The Walk-in Counselling Clinic Ottawa,Offre des service de counselling en matière de santé mentale sans rendez vous.,310 rue Olmstead,,Jul 17 2014  1:25:00,French,Vanier,ON,K1L 7K3,45.4340617,-75.6616938,613-233-8478,,,,http://www.cfsottawa.ca/en/,Jeu 12h-20h * Ven 12h-17h *  Dernière session à 6:30pm (jeudi) et 3:30pm (vendredi),Pas applicable,Gratuit,Aucun rendez-vous requis Aucuns documents requis,Résidents de la région d'Ottawa.,anglais,"OttawaOttawa, Ottawa"
Bramalea Community Health Centre - Youth Substance Abuse Counselling,Offers counselling services to young people who are experiencing difficulty with substance abuse and mental health concerns.,40 Finchgate Boulevard,Suite 224,Oct 17 2014  3:31:19,English,Brampton,ON,L6T 3J1,43.7276,-79.712334,905-451-8090,,,905-451-5217,http://www.bramaleachc.ca,Mon 8am-8pm * Tue 8am-8pm * Wed 8am-8pm * Thu 8am-8pm * Fri 8am-4pm * Sat 8am-12pm *,Wheelchair accessible,Free,Registration required Documents not specified - inquire for more information,Youth ages 13-25 in Brampton,English,"PeelBrampton, Peel"
Bramalea Community Health Centre - Youth Substance Abuse Counselling,Offre des services de counselling aux jeunes qui éprouvent des problèmes de dépendances et de santé mentale.,40 boulevard Finchgate,suite 224,Oct 17 2014  3:31:19,French,Brampton,ON,L6T 3J1,43.7276,-79.712334,905-451-8090,,,905-451-5217,http://www.bramaleachc.ca,Lun 8h-20h * Mar 8h-20h * Mer 8h-20h * Jeu 8h-20h * Ven 8h-16h * Sam 8h-24h *,Entièrement accessible,Gratuit,Inscription requise Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Jeunes de 13-25 en Brampton,anglais,"PeelBrampton, Peel"
Central Toronto Youth Services - Pride And Prejudice Program,"Offers counselling services (individual, family and group) to LGBTQ youth who are dealing with mental health issues. Also offers  an eight week Chill Out anxiety group for LGBTQ youth.",65 Wellesley Street East,Suite 300,Jan  4 2016  2:42:00,English,Toronto,ON,M4Y 1G7,43.6656294,-79.3810329,416-924-2100,,,416-924-2930,http://www.ctys.org,Mon 9am-7pm * Tue 9am-7pm * Wed 9am-7pm * Thu 9am-7pm * Fri 9am-7pm *,Wheelchair accessible,Free,Self Referral No Documentation Required,LGBTQ youth ages 13-24 and their families.,English,Toronto
Central Toronto Youth Services - Pride And Prejudice Program,"Offre des services de counselling (individuel, famille ou en groupes) aux jeunes LGBTQ qui éprouvent des problèmes de santé mentale.",65 rue Wellesley Est,suite 300,Jan  4 2016  2:42:00,French,Toronto,ON,M4Y 1G7,43.6656294,-79.3810329,416-924-2100,,,416-924-2930,http://www.ctys.org,Lun 9h-19h * Mar 9h-19h * Mer 9h-19h * Jeu 9h-19h * Ven 9h-19h *,Entièrement accessible,Gratuit,Accès sans recommandation Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Jeunes LGBTQ de 13-24 et leurs familles.,anglais,Toronto
Chatham-Kent Children's Services - Mental Health Services,"Offers assessments, support, and treatment of children and adolescents, as well as family and group counselling.",495 Grand Avenue West,,Mar 17 2016 12:27:41,English,Chatham,ON,N7L 1C5,42.4004104,-82.2068646,519-352-0440,,,519-352-4152,http://www.ckca.on.ca,Mon 8:30am-7:30pm * Tue 8:30am-7pm * Wed 8:30am-7pm * Thu 8:30am-7pm * Fri 8:30am-4:30pm *,Wheelchair accessible,Free,Self Referral Health Card,Residents of Chatham county ages 0-18 and families.,"English, French","Chatham-KentChatham, Chatham-Kent"
Services pour les enfants de Chatham-Kent - Services de santé mentale,"Offre aux enfants, aux jeunes et à leurs familles des services d'évaluation, de soutien et de traitement, y compris des des services de counseling en groupe et en famille.","495, avenue Grand ouest",,Mar 17 2016 12:27:41,French,Chatham,ON,N7L 1C5,42.4004104,-82.2068646,519-352-0440,,,519-352-4152,http://www.ckca.on.ca,Lun 8h30-19h30 * Mar 8h30-19h * Mer 8h30-19h * Jeu 8h30-19h * Ven 8h30-16h30 *,Entièrement accessible,Gratuit,Accès sans recommandation Carte santé,Enfants et jeunes de 0-18 ans et leurs familles qui habitent la région de Chatham-Kent.,"anglais, français","Chatham-KentChatham, Chatham-Kent"
Central Toronto Youth Services - Community Counselling,"Offers support to youth through outreach, individual and group counselling.",65 Wellesley Street East,Suite 300,Jan  4 2016  2:40:00,English,Toronto,ON,M4Y 1G7,43.6656294,-79.3810329,416-924-2100,,,,http://www.ctys.org,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Wheelchair accessible,Free,Self Referral No Documentation Required,Youth 12-18 years.,English,Toronto
Central Toronto Youth Services - Community Counselling,Offre des services de counseling individuels et en groupe.,"65, rue Wellesley Est",Suite 300,Jan  4 2016  2:40:00,French,Toronto,ON,M4Y 1G7,43.6656294,-79.3810329,416-924-2100,,,,http://www.ctys.org,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Entièrement accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Jeunes de 12-18 ans.,anglais,Toronto
Central Toronto Youth Services - New Outlook,"Offers support services to youths who are recovering from serious mental illness, primarily psychotic disorders.",65 Wellesley Street East,Suite 300,Jan  4 2016  2:41:00,English,Toronto,ON,M4Y 1G7,43.6656294,-79.3810329,416-924-2100,,,416-924-2930,http://www.ctys.org/category/programs/,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Not applicable,Free,"Self Referral, Medical Referral No Documentation Required",Youth aged 14-24 in Toronto,English,"TorontoToronto, Toronto"
Central Toronto Youth Services - New Outlook,Offres des services de couselling aux jeunes qui se remettent d'une maladie mentale comme des troubles psychotique.,65 rue Wellesley Est,suite 300,Jan  4 2016  2:41:00,French,Toronto,ON,M4Y 1G7,43.6656294,-79.3810329,416-924-2100,,,416-924-2930,http://www.ctys.org/category/programs/,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Pas applicable,Gratuit,"Accès sans recommendation, Recommandation médicale Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information",Jeunes de 14-24 ans dans la ville de Toronto.,anglais,"TorontoToronto, Toronto"
Centre francophone de Toronto - Santé mentale infantile,Service de soutien qui répond aux besoins des enfants francophones ayant des troubles de santé mentale et de comportement.  *,22 rue College,,Jun 17 2015  3:05:00,English,Toronto,ON,M5G 1K2,43.6613296,-79.3840986,416-922-2672 ext 233,,,416-922-6624,http://www.centrefranco.org/,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Entièrement accessible,Gratuit,Rendez-vous requis. Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Enfants et des jeunes francophones de 6 ans et moins ayant des troubles de santé mentale et leurs familles.,français,Toronto
Centre francophone de Toronto - Santé mentale infantile,Service de soutien qui répond aux besoins des enfants francophones ayant des troubles de santé mentale et de comportement.  *,22 rue College,,Jun 17 2015  3:05:00,French,Toronto,ON,M5G 1K2,43.6613296,-79.3840986,416-922-2672 ext 233,,,416-922-6624,http://www.centrefranco.org/,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Entièrement accessible,Gratuit,Rendez-vous requis. Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Enfants et des jeunes francophones de 6 ans et moins ayant des troubles de santé mentale et leurs familles.,français,Toronto
